PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
186.6666667,185.3333333,12,1.8,35.33333333,65.33333333,80.66666667,956.6666667,2.966666667,2,4.9848,0,0
201.6666667,193,13,1.9,28.33333333,78.33333333,83.33333333,960.3333333,1.9,2.166666667,4.348166667,0,0
187.3333333,172.6666667,12,1.766666667,19.33333333,89.66666667,85.33333333,962.3333333,1.9,1.666666667,3.6534,1,1
136.3333333,125.6666667,10.33333333,1.4,17.66666667,87.66666667,85.33333333,961.3333333,1.9,0.833333333,3.108333333,2,2
98.33333333,91.33333333,8,1.2,17.66666667,89.33333333,81.66666667,958,2.4,0.833333333,2.667166667,2,3
81.33333333,79.66666667,8.333333333,1.133333333,21,93.66666667,73.66666667,956.6666667,2.966666667,1,2.405666667,2,4
75,76.33333333,8.333333333,1.1,22.33333333,99.66666667,62,956.6666667,3.533333333,2,2.371566667,2,5
68,71.66666667,10.33333333,1.033333333,23.33333333,99,53,956.3333333,3.533333333,2.833333333,2.363966667,3,6
80,82,12.33333333,1.1,21.33333333,102,46.66666667,955.3333333,2.966666667,4,2.312133333,3,7
86,86.33333333,12,1.1,18.33333333,100.3333333,54.33333333,954.6666667,2.966666667,4.5,2.187666667,2,8
87.66666667,87.66666667,12,1.066666667,15,107.3333333,50,957,2.466666667,4.166666667,2.105566667,1,9
84.33333333,85,11.33333333,1,15,106.3333333,56,957,3.9,3.333333333,2.052933333,0,10
86.33333333,90.66666667,10.33333333,1.066666667,15,99,51.66666667,957.3333333,5.466666667,3.5,1.9789,0,11
81.33333333,83.33333333,7,1,14,81.66666667,70,957,7.4,2.333333333,1.814233333,0,12
190,236.6666667,65,2.3,56.33333333,70.33333333,67,971.3333333,0.9,2.666666667,4.919866667,0,0
258.3333333,310,70.66666667,2.866666667,51.66666667,72.66666667,66.33333333,975,0.9,3,4.331933333,0,0
275.6666667,324.3333333,68.66666667,3,42.33333333,79,67,976.6666667,0.9,3.166666667,3.5946,0,0
219.3333333,254,48.33333333,2.4,31.33333333,75,74.33333333,976,0.9,2.833333333,3.134933333,0,0
162.6666667,184.6666667,42,2.033333333,28.33333333,75.66666667,77.33333333,973,0.9,2.166666667,2.6549,0,0
112.6666667,125.6666667,31.66666667,1.7,27.33333333,82.33333333,78,971.6666667,0.9,1.5,2.475533333,0,0
114.3333333,129,35.33333333,1.866666667,31.66666667,88.33333333,67.66666667,971,0.9,1.5,2.4812,0,0
96.33333333,110.3333333,36,1.666666667,33,102.3333333,63,971,0.9,2,2.562366667,0,0
85,101.3333333,49.33333333,1.533333333,35.66666667,95.33333333,54,970.3333333,0.9,3.166666667,2.600133333,0,0
78,92.66666667,43,1.366666667,30.33333333,92.33333333,55,969.6666667,0.9,4.5,2.588066667,0,0
60.33333333,74.66666667,38,1.133333333,26.66666667,86.33333333,45.33333333,971.6666667,0.9,4.5,2.632233333,0,0
58.33333333,72,24,1.066666667,25.33333333,97.66666667,48.66666667,971.3333333,0.633333333,4.166666667,2.670233333,0,0
69,86,31.33333333,1.133333333,29.66666667,89.33333333,50.33333333,971.6666667,0.633333333,3.833333333,2.660366667,0,0
76.33333333,90.66666667,28.33333333,1.266666667,29.33333333,70,59,971,0.633333333,3.666666667,2.5554,0,0
100,130,11.33333333,1.333333333,25.66666667,80.33333333,82,1011,2.2,4.666666667,4.93,0,0
94.66666667,122.6666667,13.33333333,1.233333333,22.33333333,84.33333333,71.66666667,1014,2.766666667,4.666666667,4.151533333,1,1
88,113.6666667,12.33333333,1.1,17,87,60.33333333,1016.333333,4.1,4.166666667,3.5713,5,2
57,73.66666667,13,0.9,15,84,65.66666667,1015,3.533333333,3,2.981233333,5,3
60,71,14.33333333,0.966666667,15.33333333,86.33333333,70.66666667,1011.666667,3.533333333,2.833333333,2.6741,5,4
65,75.33333333,16.33333333,1.133333333,17,82,72.33333333,1009.333333,2.966666667,2.833333333,2.205766667,9,5
67,80.33333333,17.33333333,1.166666667,18.33333333,87,67.66666667,1008.666667,2.966666667,2.666666667,2.113133333,9,6
72,86.66666667,20,1.166666667,21.33333333,98,62.66666667,1009.333333,2.4,2.166666667,2.0344,15,7
81.33333333,99.66666667,22,1.2,23.66666667,113,61,1009.666667,2.4,2.333333333,2.0069,7,8
95.66666667,113.3333333,23,1.3,25.66666667,123.3333333,49.33333333,1010.666667,2.966666667,3.666666667,1.936266667,8,9
90.33333333,109.3333333,16,1.2,21.33333333,112.6666667,59,1011.666667,5.1,4.5,1.9252,2,10
67.33333333,85.33333333,11.66666667,0.966666667,17.66666667,101.6666667,69.33333333,1012.333333,4.6,3.833333333,1.898666667,5,11
41.33333333,57.66666667,7.666666667,0.7,13,86.33333333,79,1013.333333,6.166666667,3.166666667,1.804966667,6,12
35,48.33333333,7.333333333,0.7,13.66666667,79.66666667,73.66666667,1015.333333,4.6,1.5,1.645066667,7,13
