PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
52.33333333,105.3333333,7.666666667,0.533333333,23.66666667,96.33333333,51.66666667,950,6.7,10,4.405233333,0,45
27.33333333,99,7.666666667,0.433333333,24,95.33333333,47.66666667,952.3333333,5.833333333,8,4.5835,0,46
39,115.3333333,9.666666667,0.533333333,38.33333333,87,36,951.6666667,4.4,8.666666667,4.6221,0,47
42,113,10,0.566666667,42,84.33333333,37.66666667,951,2.2,9.833333333,4.659,0,48
39.66666667,109,9,0.533333333,46.33333333,88.66666667,39.33333333,953.3333333,0.866666667,10,4.6307,0,49
32,95,7.666666667,0.533333333,44.66666667,99,34,956,0.866666667,8.666666667,4.633766667,0,50
32.33333333,83.33333333,8.666666667,0.6,50,93.66666667,32.33333333,955.6666667,1.633333333,9.333333333,4.686733333,0,51
33,78,9,0.7,51.33333333,92.66666667,33,953.6666667,2.4,11,4.7973,0,52
32.66666667,83.66666667,8.666666667,0.666666667,50,97,29,951.6666667,2.966666667,13,4.893466667,0,53
30.66666667,111.6666667,7.333333333,0.633333333,43.66666667,104.3333333,25.33333333,949.6666667,2.466666667,13.83333333,4.911233333,0,54
36,139.6666667,8,0.6,41.66666667,112.6666667,18.33333333,947.3333333,2.466666667,14.83333333,4.954733333,0,55
48,156.6666667,10,0.633333333,44.66666667,107.3333333,24.33333333,944.6666667,2.466666667,16,4.948233333,0,56
55.66666667,140.6666667,11.33333333,0.666666667,42.66666667,113.3333333,32.33333333,945,2.966666667,16.83333333,4.921933333,0,57
60,126,12.66666667,0.7,38,123,37.33333333,947,2.966666667,16.66666667,4.9237,0,58
55.66666667,108.6666667,12,0.7,28.66666667,146.3333333,43.66666667,949.6666667,2.4,16.83333333,4.983833333,0,59
59,100,10.66666667,0.733333333,25.66666667,154,49,948.3333333,2.966666667,17.5,5.083366667,0,60
51.66666667,108.6666667,8,0.733333333,22.33333333,122.6666667,66.66666667,944.6666667,4.4,16.16666667,5.023233333,0,61
40,87.66666667,5,0.666666667,21,90,82.33333333,947.3333333,4.966666667,12.66666667,4.944133333,0,62
26,73,4.666666667,0.566666667,23,71.33333333,95.66666667,952,3.9,9.166666667,4.859166667,0,63
25.66666667,39,4,0.5,23.33333333,78.66666667,87.33333333,956.3333333,3.033333333,8.166666667,4.7535,0,64
34.33333333,45.66666667,4.666666667,0.533333333,23.66666667,93.33333333,83,954.3333333,2.466666667,9.166666667,4.847966667,0,65
46.66666667,56.33333333,5.333333333,0.6,28.33333333,95,73.66666667,952,2.966666667,10.66666667,4.931433333,0,66
62.33333333,72.66666667,6,0.666666667,31,88.66666667,70,950.3333333,2.4,12.5,5.035533333,0,67
68,73.66666667,5.333333333,0.833333333,33,72.33333333,72.66666667,952,2.4,11.5,4.921233333,0,68
72,71.33333333,4.666666667,0.966666667,30,78.33333333,80,954.3333333,2.4,10.83333333,4.952133333,0,69
62.66666667,69.33333333,5.333333333,0.966666667,32.33333333,99.66666667,85,957.3333333,2.4,11,5.072233333,0,70
68,95.33333333,8.333333333,0.866666667,30.33333333,131,73,958,2.4,12.83333333,5.181833333,0,71
64.33333333,101.6666667,9.333333333,0.733333333,31,144.6666667,60,957,2.966666667,13.5,5.155366667,0,72
57.66666667,102,9.333333333,0.7,33,147.3333333,48.66666667,954.6666667,2.966666667,14.16666667,5.1597,0,73
50.66666667,92.33333333,8.666666667,0.7,36,150.6666667,41.66666667,951.6666667,2.966666667,15,5.1953,0,74
78,44,5,1.2,55,69,97,1021,0.1,10.5,3.9841,0,0
56,32.5,4.5,0.95,45,67.5,97.5,1021,0.1,9.75,3.6416,7,1
52,39,4.666666667,0.866666667,38.33333333,77.33333333,97.33333333,1022.666667,0.366666667,9.5,3.2541,11,2
30.66666667,29,4.333333333,0.633333333,27,77.33333333,96,1025.333333,0.366666667,8.833333333,2.5182,24,3
24.66666667,28.66666667,4.666666667,0.6,21.33333333,81,95.66666667,1026.666667,0.633333333,8.333333333,1.957633333,24,4
18,18.66666667,4.333333333,0.566666667,19.33333333,75,94.66666667,1024,0.633333333,7.833333333,1.6646,33,5
41,36,5,0.766666667,20.66666667,72.66666667,92.33333333,1021.333333,0.633333333,6.666666667,1.5946,33,6
58.33333333,47.66666667,6,0.866666667,22,81,85.66666667,1021,0.366666667,5.833333333,1.573366667,56,7
74,60,7.666666667,1.033333333,23,87.33333333,72,1022.333333,0.1,5.333333333,1.533466667,59,8
62.66666667,51.66666667,8.666666667,0.966666667,26,96.33333333,61.33333333,1023.333333,0.366666667,5,1.550366667,69,9
50,42,8.333333333,0.9,33.66666667,89.33333333,53.33333333,1024.333333,0.366666667,5.166666667,1.557166667,73,10
38.33333333,30.33333333,7.333333333,0.733333333,36.66666667,90.33333333,58.33333333,1026,0.366666667,5.666666667,1.563133333,70,11
42,31.33333333,6.333333333,0.7,38.33333333,95,65.33333333,1026.666667,0.1,7.5,1.636566667,68,12
38.33333333,29.66666667,5.666666667,0.633333333,33,98.33333333,71.66666667,1027,0.1,8.5,1.688666667,50,13
35.33333333,32,5.333333333,0.633333333,32.33333333,94.33333333,74,1027,0.1,8.666666667,1.756733333,61,14
21,24.33333333,4.666666667,0.533333333,24.33333333,86.33333333,72.33333333,1029,0.366666667,8.166666667,1.676566667,54,15
22.66666667,25.33333333,4.666666667,0.566666667,20.33333333,83,80,1029.333333,0.366666667,7.166666667,1.642233333,58,16
27.33333333,27.33333333,4.666666667,0.566666667,17.66666667,79.66666667,81.33333333,1030.333333,0.366666667,6.666666667,1.577733333,43,17
47.66666667,42,5.333333333,0.7,23,85.66666667,84,1030.333333,0.366666667,6.166666667,1.5527,36,18
55.66666667,48,6.333333333,0.733333333,28.33333333,93.33333333,78.66666667,1029.666667,0.366666667,6.833333333,1.865833333,22,19
50.66666667,42.66666667,6.333333333,0.7,29.33333333,96.66666667,69.66666667,1028,0.366666667,9,2.111666667,17,20
41,33,6.333333333,0.7,33.33333333,85.66666667,76.66666667,1023.666667,0.1,10.16666667,2.3868,18,21
42.66666667,29.66666667,5.333333333,0.733333333,32,74,82,1021,0.1,11.83333333,2.3281,16,22
40,26,5,0.766666667,34.33333333,66.33333333,97.33333333,1018,0.1,11.83333333,2.3916,15,23
28,16.33333333,4.333333333,0.666666667,28,61,97,1017.333333,0.1,13.33333333,2.145833333,15,24
18.66666667,17.66666667,4.666666667,0.6,23.33333333,64.33333333,96.33333333,1019.333333,0.366666667,11.5,1.858633333,13,25
18.33333333,23.33333333,5.666666667,0.566666667,19,70.33333333,80,1023.666667,0.366666667,8,1.977433333,14,26
