City,POP,GDP,PRIM,SEC,TERT,>60yr%,BED,DOC,NRS,Area,POPDENS,GDPpc,Prim%,Sec%,Tert%,ACTV,TVLR,TVLR‰,Cases,MORB%,log(Cases),log(MORB%)
Suining,318.9,1345.73,185.21,615.29,545.23,0.256021025,6.710567576,2.301034807,2.39573534,5322,0.059921082,4.219912198,0.137627905,0.457216529,0.405155566,6.12235,0,0,17,5.33E-06,2.833213344,-12.1420046
Neijiang,370,1433.3,240.5,489.88,702.92,0.217990184,7,2.162162162,2.648648649,5385,0.068709378,3.873783784,0.1677946,0.341784693,0.490420707,5.322078571,0,0,22,5.95E-06,3.091042453,-12.03280092
Leshan,327.1,1863.31,242.68,801.88,818.75,0.246790767,7.743503516,2.503210028,3.11861816,12723,0.025709345,5.696453684,0.130241345,0.430352437,0.439406218,5.1784,0,0,3,9.17E-07,1.098612289,-13.90199402
Meishan,299.5,1380.2,199.16,527.13,653.91,0.274265109,6.658764608,1.615692821,2.259432387,7140,0.041946779,4.608347245,0.144297928,0.38192291,0.473779162,5.074328571,0,0,8,2.67E-06,2.079441542,-12.83301325
Yibin,457.3,2601.89,277.64,1308.92,1015.33,0.215872513,7.697354035,2.208615788,3.039580144,13271,0.034458594,5.689678548,0.106707048,0.50306508,0.390227873,5.7645,0,0,12,2.62E-06,2.48490665,-12.85077335
Yaan,154.1,723.79,128.05,227.2,368.54,0.210265439,8.585334199,2.99156392,3.513951979,15046,0.010241925,4.69688514,0.176915956,0.313903204,0.50918084,5.038671429,0,0,7,4.54E-06,1.945910149,-12.30203197
Ziyang,250.3,777.8,142.1,237.6,398.1,0.321952867,7.990411506,2.224530563,2.53495805,5748,0.043545581,3.107471035,0.18269478,0.305476986,0.511828233,5.541414286,0,0,4,1.60E-06,1.386294361,-13.34670621
Nanchong,643.5,2322.22,404.25,937.62,980.36,0.225266687,6.795027195,2.186013986,2.346697747,12477,0.051574898,3.608733489,0.174079114,0.403760195,0.422164997,6.216642857,0.248177,0.000385667,39,6.06E-06,3.663561646,-12.01370075
Guangan,325.1,1250.4,204.3,411,635.1,0.274853085,6.554906183,1.851737927,2.314980006,6339,0.051285692,3.846201169,0.163387716,0.328694818,0.507917466,5.994428571,0.0283,8.71E-05,30,9.23E-06,3.401197382,-11.59327582
Dazhou,574.1,2041.5,344.8,706.3,990.4,0.248869805,6.246646926,1.321546769,1.932938512,16588,0.034609356,3.556000697,0.16889542,0.3459711,0.48513348,6.001,0.5118295,0.000891534,42,7.32E-06,3.737669618,-11.82547435
Xianning,254.84,1594.98,200,704.9,690.08,0.180610727,6.176424423,2.782530215,3.134515775,9752,0.026132075,6.258750589,0.125393422,0.441949115,0.432657463,5.933771429,25.02364,0.098193533,868,0.000340606,6.766191715,-7.984784555
Xiaogan,492.1,2301.4,310.37,983.3,1007.73,0.203993283,5.202194676,1.890243902,2.276422764,8904,0.055267296,4.676691729,0.134861389,0.427261667,0.437876944,5.220464286,69.1868775,0.140595159,3518,0.000714895,8.165647925,-7.243374395
Huanggang,633.33,2322.73,403.01,876.56,1043.16,0.23583257,5.939715472,1.91,2.255766193,17457,0.036279429,3.667487724,0.173507037,0.37738351,0.449109453,5.494285714,65.3522675,0.103188334,2907,0.000459002,7.974876901,-7.686455085
Huangshi,247.17,1767.19,103.82,900.38,762.99,0.175245901,7.188170085,2.602662135,3.986325201,4583,0.053931922,7.149694542,0.058748635,0.50949813,0.431753235,5.508957143,18.8138335,0.076116978,1015,0.000410649,6.922643891,-7.797772839
Ezhou,105.97,1140.07,100.49,550.3,489.28,0.198620178,5.344908936,2.082664905,2.906482967,1596,0.066397243,10.75842219,0.08814371,0.482689659,0.42916663,4.335085714,19.842967,0.187250797,1394,0.001315467,7.239932591,-6.633563816
Xiangyang,568,4812.8,449.2,2329.2,2034.4,0.206497077,6.910915493,2.425880282,2.837852113,19728,0.028791565,8.473239437,0.093334441,0.483959441,0.422706117,5.623185714,19.607382,0.034520039,1175,0.000206866,7.069023427,-8.483438364
Yichang,413.79,4460.82,416.05,2054.15,1990.62,0.23348115,7.037869451,2.78087919,3.649194036,21230,0.019490815,10.78039585,0.093267606,0.460487085,0.446245309,5.398592857,14.0247225,0.033893334,931,0.000224993,6.836259277,-8.399439693
Jingmen,289.75,2033.77,242.89,961.5,829.38,0.205941715,6.530802416,2.522519413,3.07092321,12404,0.0233594,7.019050906,0.119428451,0.472767324,0.407804226,5.510885714,16.485322,0.056894985,928,0.000320276,6.833031733,-8.046327121
Jingzhou,557.01,2516.48,434.58,933.77,1148.13,0.234921947,5.868117269,2.240706951,2.506418197,14242,0.039110378,4.517836305,0.172693604,0.37106196,0.456244437,5.376985714,32.680126,0.058670627,1580,0.000283657,7.365180126,-8.167743439
Suizhou,222.1,1162.23,156.22,544.08,461.93,0.209316205,5.507429086,1.434038721,2.135524538,9636,0.023048983,5.232913102,0.134414014,0.468134534,0.397451451,5.187485714,16.0426405,0.07223161,1307,0.000588474,7.175489714,-7.437978389
Nanchang,560.06,5596.18,212.89,2653.82,2729.47,0.169396136,6.481448416,2.999678606,3.614544119,7402,0.075663334,9.992107988,0.038042022,0.474219914,0.487738064,4.985142857,2.368213,0.004228499,231,4.12E-05,5.442417711,-10.09596658
Pingxiang,194.13,930.02,68.05,413.89,448.08,0.177818507,5.710091176,2.383969505,3.311698346,3831,0.050673453,4.790707258,0.073170469,0.44503344,0.48179609,5.294757143,0,0,33,1.70E-05,3.496507561,-10.98236085
Xinyu,119.34,971.58,62.73,453.32,455.53,0.15460213,5.796882856,2.273336685,2.930283224,3178,0.037551919,8.141277024,0.064564935,0.46658021,0.468854855,5.751957143,0,0,130,0.000108932,4.86753445,-9.124782484
Yichun,558.26,2687.57,296.54,1136.31,1254.42,0.16083285,6.098233798,1.754917064,2.235338373,18669,0.029903048,4.814190521,0.110337591,0.422802011,0.466748773,5.97395,1.292537,0.002315296,106,1.90E-05,4.663439094,-10.87172608
Jiujiang,492.03,3121.05,212.05,1509.81,1399.19,0.173069839,4.777350975,1.566164665,2.101497876,19853,0.02478366,6.34321078,0.067941879,0.483750661,0.448307461,5.88905,2.59362,0.005271264,118,2.40E-05,4.770684624,-10.63819544
Zhangsha,839.45,11574.22,359.69,4439.32,6775.21,0.1744,9.673000179,3.84775746,4.884150337,11816,0.0710435,13.7878611,0.031076824,0.383552412,0.585370764,4.549614286,5.0538655,0.006020449,242,2.88E-05,5.488937726,-10.45414956
Zhuzhou,402.85,3003.13,220.7,1358.7,1423.7,0.186,6.950477845,2.725083778,3.444458235,11248,0.035815256,7.45471019,0.073489992,0.452427967,0.474072051,5.342114286,0.9045385,0.002245348,80,1.99E-05,4.382026635,-10.82687802
Xiangtan,288.2,2257.6,144.9,1113.1,999.6,0.212,7.12907703,2.816793893,3.911866759,5006,0.057570915,7.833448994,0.064183203,0.493045712,0.442771084,5.141907143,0.6096955,0.002115529,36,1.25E-05,3.583518938,-11.29047612
Yueyang,577.13,3780.41,380.62,1525.83,1873.96,0.181080481,4.12316116,2.492852564,2.802488174,14858,0.038843048,6.55036127,0.100682201,0.403614952,0.495702847,5.477064286,2.589682,0.004487173,156,2.70E-05,5.049856007,-10.51855191
Changde,577.2,3624.2,395.7,1462.7,1765.8,0.242030492,6.41025641,3.124393624,2.829002079,18177,0.031754415,6.278932779,0.109182716,0.403592517,0.487224767,5.629085714,1.66615,0.002886608,82,1.42E-05,4.406719247,-11.16180995
Yiyang,442.07,1792.46,280.26,763.39,748.81,0.247899982,5.45,2.56,3.19,12320,0.035882305,4.05469722,0.156354954,0.42588956,0.417755487,5.339071429,0.86799,0.001963467,60,1.36E-05,4.094344562,-11.20746405
Guangzhou,1530.59,23628.6,251.37,6454,16923.23,0.122188437,6.546495142,3.835122404,5.083007206,7434,0.205890503,15.43757636,0.010638379,0.273143563,0.716218058,3.767064286,2.4999225,0.001633306,507,3.31E-05,6.228511004,-10.31523793
Shenzhen,1343.88,26927.09,25.2,10495.84,16406.06,0.081014644,3.818644522,2.702696669,2.999449356,1997,0.672949424,20.0368262,0.000935861,0.389787385,0.609277126,3.795007143,2.516282,0.001872401,462,3.44E-05,6.135564891,-10.27809171
Zhuhai,202.37,3435.89,57.36,1528.73,1849.79,0.096215842,5.056579533,3.824677571,4.360330088,1736,0.116572581,16.97825765,0.016694364,0.444929844,0.538372882,4.313221429,0.522317,0.002581,103,5.09E-05,4.634728988,-9.885709089
Fushan,815.86,10751.02,156.92,6044.62,4549.48,0.105498247,4.67,2.57,3.585833674,3798,0.21481306,13.17753046,0.014595824,0.562236885,0.42316729,3.669535714,0.4076305,0.000499633,100,1.23E-05,4.605170186,-11.30941296
Jiangmen,463.03,3146.64,254.23,1352.54,1539.87,0.185379817,5.23680971,2.361402069,3.243418353,9507,0.048704113,6.795758374,0.080794117,0.42983627,0.489369613,4.456414286,0,0,24,5.18E-06,3.17805383,-12.17007839
Zhaoqing,418.71,2248.8,386.02,925.45,937.33,0.170044995,4.412839435,2.023118626,2.690645077,14900,0.028101342,5.370781687,0.171655994,0.411530594,0.416813412,4.341985714,0,0,20,4.78E-06,2.995732274,-12.25178665
Huizhou,488,4177.41,205.5,2169.12,1802.79,0.098565574,4.477868852,2.867213115,3.272336066,11347,0.043006962,8.560266393,0.04919316,0.519249966,0.431556874,3.509514286,0.2789065,0.00057153,62,1.27E-05,4.127134385,-11.27352139
Dongguan,846.45,9482.5,28.48,5361.5,4092.52,0.049151657,3.898635478,2.325492719,3.032816186,2460,0.344085366,11.20266997,0.003003427,0.565409966,0.431586607,2.984628571,0.6757515,0.000798336,100,1.18E-05,4.605170186,-11.34622132
Zhongshan,338,3101.1,62.6,1521.82,1516.68,0.09412997,4.770414201,2.757692308,3.518343195,1784,0.189461883,9.174852071,0.020186385,0.490735545,0.489078069,3.557214286,0.02945,8.71E-05,69,2.04E-05,4.234106505,-10.79927976
