City,POP,GDP,PRIM,SEC,TERT,>60yr%,BED,DOC,NRS,Area,POPDENS,GDPpc,Prim%,Sec%,Tert%,ACTV,TVLR,TVLR‰,Cases,MORB%,log(Cases),log(MORB%)
Nanyang,1003.16,3814.98,569.46,1267.78,1977.73,0.169137609,6.150564217,2.960644364,3.209856852,26509,0.037842242,3.802962638,0.149269459,0.33231629,0.51841163,5.922964286,3.4488825,0.003438018,156,1.56E-05,5.049856007,-11.07139466
Shangqiu,733.36,2911.2,428.92,1193.48,1288.8,0.192156675,5.345583116,2.053977312,2.038414809,10704,0.068512706,3.96967383,0.147334433,0.409961528,0.44270404,6.678592857,1.696647,0.002313525,91,1.24E-05,4.510859507,-11.29711758
Xinyang,646.39,2758.47,497.71,1008.89,1251.87,0.196960031,5.625087022,2.038397871,2.1315305,18787,0.034406238,4.267501044,0.180429731,0.365742604,0.453827665,6.221728571,7.4214275,0.011481346,274,4.24E-05,5.613128106,-10.0686153
Zhoukou,866.22,3198.49,474.53,1406.01,1317.95,0.200612439,5.42,2.1357161,2.077994043,11961,0.072420366,3.692468426,0.148360633,0.439585554,0.412053813,6.62495,2.1963125,0.002535513,76,8.77E-06,4.33073334,-11.64374595
Zhumadian,704.58,2742.06,467.92,1101.9,1172.25,0.186241181,6.188083681,1.632178035,1.901842232,15065,0.046769333,3.891765307,0.170645427,0.401851163,0.427507057,6.291371429,3.2694515,0.004640284,139,1.97E-05,4.934473933,-10.83346832
Luoyang,692.22,5034.9,245.1,2330.6,2459.2,0.180760429,7.653491664,3.014359597,3.479674092,15236,0.045433185,7.27355465,0.048680212,0.462889035,0.488430753,5.512228571,0.9356045,0.0013516,31,4.48E-06,3.433987204,-12.31625699
Sanmenxia,227.65,1443.82,136.18,704.88,602.76,0.198157492,6.744564024,2.662420382,2.93740391,10496,0.021689215,6.342279816,0.094319236,0.488204901,0.417475863,5.421814286,0,0,7,3.07E-06,1.945910149,-12.69223958
Huhehaote,313.7,2791.5,114.2,823.8,1853.4,0.172639747,5.909148868,3.688555945,3.42600321,17186,0.018253229,8.898629264,0.040909905,0.295110156,0.663944116,5.690378571,0,0,7,2.23E-06,1.945910149,-13.01286734
Baotou,289.7,2714.5,96.4,1066.5,1551.6,0.171110114,6.921297894,3.049468619,3.927025998,27768,0.010432872,9.37003797,0.035512986,0.392890035,0.571596979,6.0002,0,0,11,3.80E-06,2.397895273,-12.481291
Nanjing,850,14030.15,289.82,5040.86,8699.47,0.18243677,6.941176471,4.2,4.941176471,6587,0.129042053,16.50605882,0.020656942,0.359287677,0.620055381,5.458585714,1.417413,0.001667545,93,1.09E-05,4.532599493,-11.42297723
Wuxi,659.15,11852.32,122.5,5627.88,6101.94,0.20861715,7.676553137,3.519684442,3.706441554,4627,0.142457316,17.98121824,0.010335529,0.474833619,0.514830852,5.465371429,0.4238445,0.000643017,55,8.34E-06,4.007333185,-11.69395831
Xuzhou,882.56,7151.35,682.8,2886.18,3582.37,0.182835352,6.911711385,3.24,3.648477157,11765,0.075015725,8.102961838,0.095478476,0.403585337,0.500936187,5.895957143,0.7468095,0.000846186,79,8.95E-06,4.369447852,-11.62371929
Changzhou,473.6,7400.9,157,3529.2,3714.7,0.193686617,5.975506757,3.125,3.462837838,4372,0.108325709,15.62690034,0.021213636,0.476860922,0.501925442,5.526457143,0.1370025,0.000289279,51,1.08E-05,3.931825633,-11.43887782
Suzhou,1075,19235.8,196.7,9130.2,9908.9,0.211155814,6.669767442,3.302325581,3.758139535,8657,0.124176967,17.89376744,0.010225725,0.474646233,0.515128043,5.308178571,0.9432525,0.000877444,88,8.19E-06,4.477336814,-11.7130795
Nantong,731.8,9383.4,428.8,4602.1,4352.2,0.319784641,6.285870456,2.869636513,3.00628587,10549,0.069371504,12.82235583,0.045697722,0.490451222,0.463819085,5.673485714,0.627843,0.000857943,40,5.47E-06,3.688879454,-12.11696817
Lianyungang,451.1,3139.29,362.7,1363.15,1413.44,0.209709599,6.229217468,2.859676347,3.170028818,7615,0.059238345,6.95918865,0.115535678,0.434222388,0.450241934,5.733521429,0,0,48,1.06E-05,3.871201011,-11.45082841
Huaian,493.26,3871.21,386.2,1617.18,1867.83,0.231250912,6.158212707,2.955642055,3.338604387,10030,0.049178465,7.848213924,0.09976209,0.417745356,0.482492554,5.972735714,0,0,66,1.34E-05,4.189654742,-11.22172205
Yancheng,720.89,5702.3,619.9,2371.6,2710.8,0.274557544,5.590311975,2.718861407,2.413683086,16931,0.042578111,7.910083369,0.10871052,0.415902355,0.475387124,5.631885714,0.106757,0.000148091,27,3.75E-06,3.295836866,-12.49499007
Yangzhou,454.9,5850.08,292.8,2778.21,2779.07,0.280796811,5.494394372,2.760386898,2.661903715,6591,0.069018358,12.86014509,0.050050598,0.474901198,0.475048204,5.788485714,0.172968,0.000380233,23,5.06E-06,3.135494216,-12.19492377
Zhenjiang,320.35,4127.32,140.2,2004.79,1982.33,0.235754641,4.945840487,2.643670985,2.982987358,3840,0.083424479,12.88378336,0.033968774,0.485736507,0.480294719,5.344914286,0.0267,8.33E-05,12,3.75E-06,2.48490665,-12.49484787
Taizhou,463.61,5133.36,292.5,2525.98,2314.88,0.301920016,6.44615086,2.870731865,2.860809732,5787,0.080112321,11.07258256,0.056980223,0.49207147,0.450948307,5.92165,0.2727135,0.000588239,37,7.98E-06,3.610917913,-11.73846614
Suqian,592.36,3099.23,324.6,1324.35,1450.28,0.096697346,4.988182862,2.351441691,3.260541031,8524,0.069493196,5.232004187,0.104735692,0.427315817,0.46794849,5.998985714,0,0,14,2.36E-06,2.63905733,-12.9553976
Hangzhou,1036,15373,326,4875,10172,0.18387328,8.301158301,4.72972973,5.308880309,16853,0.061472735,14.83880309,0.021206011,0.317114421,0.661679568,5.119142857,1.2749705,0.001230667,183,1.77E-05,5.209486153,-10.94397664
