PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
0.42374517374461756,0.40807174887945463,0.10332103320702332,0.3023255813953488,0.46640316205322685,0.25979381437942395,0.7608695652173914,0.7919863604542092,0.3519061582545729,0.4530201341977839,0.6230067041281282,0.0,0.0
0.4469111969106631,0.42421524663728766,0.0977859778564494,0.32558139534883723,0.4545454545432986,0.29072164942459344,0.7880434782608696,0.793265132833707,0.2771260996254762,0.47818791943099415,0.5996402750542191,0.0,0.0
0.5299227800188513,0.4816143496865636,0.11439114390817119,0.37209302325581395,0.38735177861417924,0.3731958761910936,0.7898550725,0.7988064798967827,0.25219941344510277,0.4832214764776362,0.5497593334124345,0.0,0.0
0.5733590734551867,0.5022421524668141,0.12546125460931906,0.39534883720930225,0.3043478260446812,0.45360824730853444,0.8188405796739131,0.8081841438425958,0.1583577712145578,0.48657718118210896,0.4748369077179959,0.0,0.0
0.531853281756305,0.447533632377177,0.11439114390817119,0.36434108534883725,0.19762845845532656,0.5237113401188225,0.8405797101086956,0.8132992333605871,0.1583577712145578,0.4765100670888249,0.3930730394360938,0.0009794319294809011,0.012987012987012988
0.38416988407276476,0.32107623327415147,0.09594095936935772,0.2790697674418604,0.1778656126844975,0.5113402061007547,0.8405797101086956,0.8107416886015915,0.1583577712145578,0.45973154358659524,0.32892667018397853,0.0019588638589618022,0.025974025974025976
0.27413127412092103,0.22869955156122984,0.07011070110357974,0.23255813953488372,0.1778656126844975,0.5216494844079074,0.8007246377173913,0.8022165394901917,0.20234604099637943,0.45973154358659524,0.2770078103962077,0.0019588638589618022,0.03896103896103896
0.22490347489307425,0.19730941705004723,0.07380073800027231,0.21705426348837206,0.21739130434473275,0.548453608154958,0.7137681159782607,0.7988064798967827,0.25219941344510277,0.463087248291068,0.2462330876421044,0.0019588638589618022,0.05194805194805195
0.2065637065629407,0.18834080716664722,0.07380073800027231,0.20930232558139536,0.23320158098511146,0.5855670102091615,0.5869565217391304,0.7988064798967827,0.3020527858058496,0.4832214764776362,0.2422200167208236,0.0019588638589618022,0.06493506493506494
0.18629343629265088,0.1757847533729365,0.09594095936935772,0.19379844953488373,0.24505928849503972,0.581443298849187,0.4891304347826087,0.7979539648066138,0.3020527858058496,0.4999999999597316,0.2413256079524443,0.002938295788442703,0.07792207792207792
0.22104247104171917,0.2035874439469026,0.11808118077165343,0.20930232558139536,0.22134387347518314,0.5999999998762887,0.4202898551086956,0.7953964200476182,0.25219941344510277,0.5234899328507725,0.23522558315982167,0.002938295788442703,0.09090909090909091
0.2384169884162533,0.21524663676303563,0.11439114390817119,0.20930232558139536,0.18577075094539827,0.5896907213217133,0.5036231883695652,0.7936913903787919,0.25219941344510277,0.5335570469440566,0.2205776782333299,0.0019588638589618022,0.1038961038961039
0.24324324325216531,0.21883408072715796,0.11439114390817119,0.2015503876744186,0.14624505928516301,0.6329896903849506,0.45652173913043476,0.7996589947311961,0.20821114366328114,0.5268456375552453,0.21091570982754834,0.0009794319294809011,0.1168831168831169
0.23359073358034133,0.21165919282581913,0.10701107007050557,0.18604651162790697,0.14624505928516301,0.6268041233759167,0.5217391304347827,0.7996589947311961,0.33431085034184427,0.5100671140530156,0.20472153674351734,0.0,0.12987012987012989
0.2393822393718527,0.2269058296060745,0.09594095936935772,0.2015503876744186,0.14624505928516301,0.581443298849187,0.47463768119565214,0.8005115095656095,0.4721407623542109,0.5134228187574884,0.19600889698199842,0.0,0.14285714285714288
0.22490347489307425,0.2071748878841191,0.05904059040243188,0.18604651162790697,0.13438735177523473,0.47422680404655126,0.6739130434782608,0.7996589947311961,0.6422287388145956,0.4899328858664475,0.17663004029455195,0.0,0.15584415584415584
0.19980694981582994,0.17847533633257534,0.040590405896828746,0.17054263558139535,0.1304347826447843,0.37113402054203426,0.7753623188043479,0.8047740842491873,0.5161290321360325,0.4563758389022567,0.17402527093814948,0.0,0.16883116883116883
0.19691119692007425,0.15784753363304227,0.040590405896828746,0.17829457372093024,0.1620553359255417,0.36288659788394095,0.9202898551086958,0.8098891737671785,0.2844574778931209,0.4261744966224044,0.17957609732499502,0.0,0.18181818181818182
0.22586872587763115,0.18834080716664722,0.05904059040243188,0.20930232558139536,0.21739130434473275,0.44329896900138166,0.8768115942391304,0.8132992333605871,0.11436950143273619,0.45973154358659524,0.19567545515582227,0.0,0.19480519480519481
0.21428571429460838,0.1928251121083472,0.07011070110357974,0.22480620162790702,0.27272727276392383,0.4886597937136784,0.6630434782608696,0.8090366589327651,0.16422287388145956,0.5134228187574884,0.21091570982754834,0.0,0.2077922077922078
0.16891891891811672,0.16771300449401996,0.09225092250587545,0.2015503876744186,0.2885375494043025,0.5340206184259753,0.45652173913043476,0.7979539648066138,0.20821114366328114,0.5637583892239089,0.2266031688834641,0.0,0.2207792207792208
