PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
36,36,7,0.7,19,123,86,1015,2.4,19,1.4579,0,0
33.5,31.5,6.5,0.6,20,111.5,90,1013,1.65,20.25,1.36515,0,0
30,28.66666667,6.333333333,0.566666667,17.33333333,103,91.66666667,1012,1.9,21.33333333,1.242866667,0,0
32.25,31.75,7,0.6,15.75,92.5,93,1012,2.025,21.5,1.14295,0,0
26.8,27,6.8,0.66,14.4,81.8,94.4,1011.4,2.1,20.6,1.07334,1,1
23.33333333,23.83333333,6.666666667,0.666666667,13.16666667,77.66666667,91.16666667,1011.333333,2.866666667,19.08333333,1.016183333,1,2
21.85714286,22.14285714,6.714285714,0.657142857,12.28571429,75.85714286,87.71428571,1011.571429,3.042857143,18,0.9792,6,3
20.57142857,20.57142857,6.714285714,0.642857143,10.57142857,69.42857143,83.71428571,1011.428571,3.042857143,16.78571429,0.880971429,6,4
20.42857143,20.71428571,7.142857143,0.642857143,8.714285714,68.57142857,78.57142857,1012,3.257142857,15.42857143,0.811957143,10,5
21.85714286,22.14285714,7.571428571,0.642857143,8.571428571,70.71428571,71.14285714,1012.714286,3.257142857,13.85714286,0.783985714,15,6
22.14285714,21.71428571,7.428571429,0.628571429,8.857142857,78,65,1013.285714,3.042857143,12.57142857,0.778828571,20,7
27.28571429,26.71428571,7.714285714,0.585714286,9.571428571,86.14285714,58.85714286,1014.142857,3.042857143,12.42857143,0.777857143,25,8
33.28571429,32.28571429,8.142857143,0.571428571,10.57142857,88.85714286,58.14285714,1014.714286,2.214285714,13.28571429,0.7965,29,9
33.28571429,32.14285714,8.285714286,0.571428571,11,86.71428571,62.85714286,1014.857143,2.214285714,13.92857143,0.803757143,30,10
32.14285714,30.71428571,8.571428571,0.571428571,11.42857143,81.85714286,68,1014.857143,2.214285714,14.5,0.811185714,37,11
31,30,8.285714286,0.571428571,11.71428571,80.28571429,72.14285714,1014.714286,2.457142857,15,0.817028571,36,12
29.85714286,28.85714286,8.428571429,0.585714286,11.85714286,71.57142857,77.42857143,1014.428571,2.242857143,15.57142857,0.823685714,37,13
25.71428571,25,8.428571429,0.585714286,11,63.71428571,80.85714286,1014.428571,2.457142857,16,0.831828571,35,14
22,21.14285714,8.571428571,0.585714286,9.857142857,58.57142857,84.28571429,1015.142857,2.457142857,15.85714286,0.853971429,31,15
19,18.42857143,8.714285714,0.585714286,9.571428571,55.85714286,84,1015.714286,2.914285714,15.64285714,0.924457143,29,16
24.85714286,23.57142857,8.714285714,0.614285714,11.28571429,57.71428571,80.85714286,1016,2.457142857,15.64285714,0.996971429,25,17
30.28571429,28.85714286,8.571428571,0.642857143,13.57142857,61.71428571,81.42857143,1015.857143,2.242857143,16.07142857,1.078742857,23,18
31,29.71428571,8.714285714,0.657142857,15.57142857,58.28571429,83,1015.285714,2,16.71428571,1.157928571,23,19
30.28571429,28.71428571,8.285714286,0.642857143,16.71428571,57.85714286,84.28571429,1014.571429,2.214285714,17.14285714,1.239714286,20,20
30.42857143,29.28571429,8.142857143,0.628571429,17.71428571,57.85714286,86.85714286,1013.428571,2.214285714,17.92857143,1.2923,25,21
28.28571429,27.57142857,7.857142857,0.642857143,18,56.28571429,89,1012,2.214285714,18.14285714,1.317671429,31,22
25.85714286,26,7.714285714,0.628571429,17.42857143,59.71428571,88,1012.142857,2.214285714,17.42857143,1.364342857,29,23
20.28571429,22.28571429,7.857142857,0.585714286,16.28571429,64.14285714,83.57142857,1013,2.428571429,16.71428571,1.423242857,29,24
17.42857143,21,8,0.557142857,16.85714286,71.71428571,78,1013.857143,2.642857143,16.07142857,1.479957143,24,25
17.71428571,22,8.142857143,0.557142857,17.71428571,80.28571429,73.28571429,1014.857143,2.428571429,15.42857143,1.5502,22,26
19.71428571,25.14285714,8.428571429,0.571428571,18.85714286,98.28571429,71.42857143,1016.428571,2.428571429,15.35714286,1.627457143,20,27
24.85714286,30.71428571,8.714285714,0.6,21.28571429,107.7142857,68.14285714,1018.142857,2.214285714,15.14285714,1.711542857,12,28
29.28571429,35.85714286,9,0.571428571,22.85714286,119.7142857,65.28571429,1019.428571,2.214285714,15.78571429,1.785185714,5,29
31.57142857,40,9,0.571428571,24.71428571,126.4285714,67.14285714,1018.857143,1.971428571,17.28571429,1.873442857,7,30
33.14285714,42.14285714,8.857142857,0.571428571,26.14285714,130.1428571,72.85714286,1017.571429,1.757142857,18.85714286,1.960685714,6,31
31.57142857,40.85714286,8.857142857,0.557142857,26.28571429,129.1428571,77,1016.428571,1.542857143,20.14285714,2.050385714,6,32
30,39.42857143,8.571428571,0.528571429,26.14285714,125.1428571,79,1015.571429,1.757142857,21.28571429,2.1363,5,33
30.28571429,40.14285714,8.285714286,0.528571429,26,121,80.14285714,1014.714286,1.757142857,21.71428571,2.222214286,5,34
28.14285714,38.28571429,8.285714286,0.5,26.71428571,117.8571429,81.85714286,1013.285714,1.642857143,21.85714286,2.315257143,6,35
26.85714286,36.28571429,8.142857143,0.5,27.42857143,111.1428571,82.85714286,1011.571429,1.642857143,22.14285714,2.400228571,5,36
25.85714286,33.85714286,8.285714286,0.514285714,27.42857143,102.8571429,82.85714286,1010.571429,1.642857143,22.28571429,2.485457143,3,37
25.42857143,33.85714286,8.285714286,0.528571429,27.14285714,99.57142857,81,1010.428571,2.1,21.78571429,2.567485714,2,38
23.28571429,31.14285714,8,0.557142857,25.42857143,91,79,1010.571429,2.1,21.78571429,2.6332,2,39
22.57142857,29.71428571,8.142857143,0.6,24,87.28571429,81.28571429,1010.714286,2.1,20.78571429,2.702142857,2,40
21.28571429,28.14285714,8.142857143,0.585714286,24,81.42857143,80.14285714,1010.571429,2.1,20.21428571,2.769085714,1,41
19.42857143,26.71428571,7.857142857,0.585714286,22.57142857,77.28571429,79.28571429,1010.428571,2.214285714,20.07142857,2.823957143,0,42
19.14285714,27,7.714285714,0.585714286,22.71428571,73.85714286,79.85714286,1010.285714,2,19.92857143,2.879614286,0,43
19.14285714,26.71428571,7.285714286,0.557142857,22.71428571,71.42857143,80.42857143,1009.285714,2,20.07142857,2.926757143,0,44
17,24.14285714,7.285714286,0.571428571,21.57142857,70.57142857,82.85714286,1008,1.757142857,20.42857143,2.973128571,1,45
19.71428571,29.42857143,7.857142857,0.571428571,22.57142857,73.42857143,80.71428571,1008,2.214285714,20.14285714,3.023485714,1,46
23.14285714,35.71428571,7.857142857,0.571428571,25.85714286,74.28571429,77.85714286,1007.714286,2,20.5,3.0685,1,47
24.28571429,38.57142857,7.857142857,0.6,26.85714286,68.85714286,79.42857143,1007.142857,2,21,3.110557143,1,48
23.71428571,37.71428571,8.142857143,0.628571429,25.14285714,72.85714286,81.71428571,1007.285714,2.214285714,21.35714286,3.151714286,1,49
25.85714286,41.71428571,8.571428571,0.642857143,24.71428571,82.85714286,77,1008.428571,2.428571429,21.07142857,3.194628571,1,50
27.14285714,45.85714286,8.857142857,0.671428571,26,94.28571429,76,1010,2.428571429,20.57142857,3.229828571,1,51
30.57142857,52.28571429,8.857142857,0.657142857,29.14285714,93.14285714,73.42857143,1011.571429,2.214285714,20.78571429,3.258957143,0,52
34.14285714,55.42857143,8.714285714,0.657142857,32,90.28571429,75.85714286,1011.428571,1.971428571,20.85714286,3.283242857,0,53
32.85714286,51.57142857,8.857142857,0.657142857,31,89,78.57142857,1011.285714,2.185714286,21,3.300814286,0,54
33.85714286,51.14285714,9.142857143,0.657142857,31.57142857,89.28571429,80.42857143,1011.571429,2.185714286,20.64285714,3.324157143,0,55
35.57142857,53.85714286,8.857142857,0.642857143,34,82.85714286,81,1011.428571,2.185714286,20.42857143,3.351714286,0,56
34.28571429,51.57142857,8.571428571,0.642857143,35,79.14285714,87.57142857,1010.571429,1.971428571,20.92857143,3.386757143,0,57
33.85714286,48.85714286,8.428571429,0.628571429,35,79,90.71428571,1009.714286,1.971428571,21.57142857,3.414157143,0,58
33,46.14285714,8.285714286,0.628571429,33.28571429,86.85714286,93.71428571,1008.857143,2.185714286,22,3.442085714,0,59
28.14285714,41.42857143,8,0.614285714,30.85714286,96.28571429,97.14285714,1008.428571,1.971428571,22.42857143,3.478342857,0,60
27.42857143,41.71428571,7.714285714,0.585714286,29.57142857,96,97.57142857,1008.285714,1.971428571,22.92857143,3.5163,0,61
25,40.14285714,7.571428571,0.571428571,28.71428571,96.14285714,97,1007.857143,1.757142857,23.71428571,3.544585714,0,62
