PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
32.14285714,30.71428571,8.571428571,0.571428571,11.42857143,81.85714286,68,1014.857143,2.214285714,14.5,0.811185714,37,11
31,30,8.285714286,0.571428571,11.71428571,80.28571429,72.14285714,1014.714286,2.457142857,15,0.817028571,36,12
29.85714286,28.85714286,8.428571429,0.585714286,11.85714286,71.57142857,77.42857143,1014.428571,2.242857143,15.57142857,0.823685714,37,13
25.71428571,25,8.428571429,0.585714286,11,63.71428571,80.85714286,1014.428571,2.457142857,16,0.831828571,35,14
22,21.14285714,8.571428571,0.585714286,9.857142857,58.57142857,84.28571429,1015.142857,2.457142857,15.85714286,0.853971429,31,15
19,18.42857143,8.714285714,0.585714286,9.571428571,55.85714286,84,1015.714286,2.914285714,15.64285714,0.924457143,29,16
24.85714286,23.57142857,8.714285714,0.614285714,11.28571429,57.71428571,80.85714286,1016,2.457142857,15.64285714,0.996971429,25,17
30.28571429,28.85714286,8.571428571,0.642857143,13.57142857,61.71428571,81.42857143,1015.857143,2.242857143,16.07142857,1.078742857,23,18
31,29.71428571,8.714285714,0.657142857,15.57142857,58.28571429,83,1015.285714,2,16.71428571,1.157928571,23,19
30.28571429,28.71428571,8.285714286,0.642857143,16.71428571,57.85714286,84.28571429,1014.571429,2.214285714,17.14285714,1.239714286,20,20
30.42857143,29.28571429,8.142857143,0.628571429,17.71428571,57.85714286,86.85714286,1013.428571,2.214285714,17.92857143,1.2923,25,21
28.28571429,27.57142857,7.857142857,0.642857143,18,56.28571429,89,1012,2.214285714,18.14285714,1.317671429,31,22
25.85714286,26,7.714285714,0.628571429,17.42857143,59.71428571,88,1012.142857,2.214285714,17.42857143,1.364342857,29,23
20.28571429,22.28571429,7.857142857,0.585714286,16.28571429,64.14285714,83.57142857,1013,2.428571429,16.71428571,1.423242857,29,24
17.42857143,21,8,0.557142857,16.85714286,71.71428571,78,1013.857143,2.642857143,16.07142857,1.479957143,24,25
17.71428571,22,8.142857143,0.557142857,17.71428571,80.28571429,73.28571429,1014.857143,2.428571429,15.42857143,1.5502,22,26
19.71428571,25.14285714,8.428571429,0.571428571,18.85714286,98.28571429,71.42857143,1016.428571,2.428571429,15.35714286,1.627457143,20,27
24.85714286,30.71428571,8.714285714,0.6,21.28571429,107.7142857,68.14285714,1018.142857,2.214285714,15.14285714,1.711542857,12,28
29.28571429,35.85714286,9,0.571428571,22.85714286,119.7142857,65.28571429,1019.428571,2.214285714,15.78571429,1.785185714,5,29
31.57142857,40,9,0.571428571,24.71428571,126.4285714,67.14285714,1018.857143,1.971428571,17.28571429,1.873442857,7,30
33.14285714,42.14285714,8.857142857,0.571428571,26.14285714,130.1428571,72.85714286,1017.571429,1.757142857,18.85714286,1.960685714,6,31
31.57142857,40.85714286,8.857142857,0.557142857,26.28571429,129.1428571,77,1016.428571,1.542857143,20.14285714,2.050385714,6,32
30,39.42857143,8.571428571,0.528571429,26.14285714,125.1428571,79,1015.571429,1.757142857,21.28571429,2.1363,5,33
30.28571429,40.14285714,8.285714286,0.528571429,26,121,80.14285714,1014.714286,1.757142857,21.71428571,2.222214286,5,34
28.14285714,38.28571429,8.285714286,0.5,26.71428571,117.8571429,81.85714286,1013.285714,1.642857143,21.85714286,2.315257143,6,35
26.85714286,36.28571429,8.142857143,0.5,27.42857143,111.1428571,82.85714286,1011.571429,1.642857143,22.14285714,2.400228571,5,36
25.85714286,33.85714286,8.285714286,0.514285714,27.42857143,102.8571429,82.85714286,1010.571429,1.642857143,22.28571429,2.485457143,3,37
25.42857143,33.85714286,8.285714286,0.528571429,27.14285714,99.57142857,81,1010.428571,2.1,21.78571429,2.567485714,2,38
23.28571429,31.14285714,8,0.557142857,25.42857143,91,79,1010.571429,2.1,21.78571429,2.6332,2,39
22.57142857,29.71428571,8.142857143,0.6,24,87.28571429,81.28571429,1010.714286,2.1,20.78571429,2.702142857,2,40
21.28571429,28.14285714,8.142857143,0.585714286,24,81.42857143,80.14285714,1010.571429,2.1,20.21428571,2.769085714,1,41
19.42857143,26.71428571,7.857142857,0.585714286,22.57142857,77.28571429,79.28571429,1010.428571,2.214285714,20.07142857,2.823957143,0,42
26.85714286,30.28571429,4,0.585714286,16.57142857,87.57142857,74.85714286,1017.428571,1.114285714,15.07142857,1.031071429,23,10
25,29.42857143,3.714285714,0.585714286,17,82.71428571,78.85714286,1017.285714,1.328571429,15.71428571,1.0321,26,11
24.28571429,28.85714286,3.571428571,0.6,17.42857143,73.14285714,81.42857143,1017,1.328571429,16.28571429,1.033371429,28,12
21.14285714,25.42857143,3.428571429,0.614285714,16.28571429,67.85714286,83.14285714,1017,1.328571429,16.57142857,1.028285714,28,13
18.71428571,23,3.428571429,0.628571429,15.85714286,63.28571429,84.42857143,1017.714286,1.328571429,16.35714286,1.0173,30,14
17.57142857,22,3.428571429,0.642857143,15.42857143,58.14285714,82.71428571,1018.428571,1.328571429,16.14285714,1.019871429,31,15
22.14285714,25.57142857,3.571428571,0.642857143,17.28571429,58.85714286,80.71428571,1018.714286,1.328571429,16,1.021857143,27,16
27,31.42857143,3.571428571,0.657142857,18.28571429,65.42857143,82.42857143,1018.428571,1.328571429,16.42857143,1.024014286,26,17
26.14285714,29.57142857,3.571428571,0.671428571,17.71428571,62.85714286,83.42857143,1017.857143,1.114285714,16.78571429,1.019071429,20,18
24,27.57142857,3.428571429,0.671428571,17.42857143,62.85714286,84.14285714,1017.142857,1.114285714,17.14285714,1.013357143,18,19
24.57142857,28.14285714,3.428571429,0.671428571,17,60.71428571,85.42857143,1015.857143,1.328571429,17.78571429,0.996928571,19,20
22.57142857,25.71428571,3.285714286,0.657142857,16.57142857,56.28571429,86.57142857,1014.428571,1.542857143,18,0.976128571,14,21
20,24.57142857,3.285714286,0.628571429,16.57142857,62,86.71428571,1014.428571,1.785714286,17.14285714,0.979714286,10,22
15.85714286,22.28571429,3.285714286,0.585714286,15,69.42857143,86,1015.285714,1.785714286,16.5,1.030542857,8,23
11.57142857,18,3.428571429,0.528571429,14.85714286,71.28571429,81.28571429,1016.142857,1.785714286,15.85714286,1.121314286,4,24
13.28571429,20.28571429,3.571428571,0.5,16.71428571,75.42857143,78,1017,1.785714286,15.42857143,1.255557143,2,25
14.42857143,21.57142857,3.571428571,0.485714286,17,83.14285714,75.42857143,1018.571429,1.785714286,15.21428571,1.419185714,2,26
18.42857143,25.57142857,3.857142857,0.5,19.85714286,102.5714286,74.42857143,1020.428571,1.571428571,15,1.587942857,1,27
21.14285714,29.57142857,4,0.485714286,20.28571429,114.4285714,72.14285714,1021.714286,1.571428571,15.5,1.7477,1,28
23,32.71428571,4,0.485714286,19.85714286,116,72.71428571,1021.142857,1.114285714,17.07142857,1.977914286,0,29
24.71428571,34.85714286,3.857142857,0.5,20.28571429,113.7142857,74.57142857,1019.857143,1.328571429,18.5,2.191042857,0,30
24,34.85714286,3.714285714,0.528571429,20.14285714,116.1428571,78.71428571,1018.714286,1.328571429,19.64285714,2.383514286,0,31
22.42857143,33.57142857,3.571428571,0.542857143,18.42857143,115.4285714,80.85714286,1018,1.328571429,20.5,2.557342857,0,32
21.57142857,34,3.571428571,0.542857143,18,113.7142857,82.85714286,1017.142857,1.328571429,21,2.715257143,0,33
18,31.85714286,3.428571429,0.514285714,16.85714286,98,83.28571429,1015.714286,1.328571429,21.35714286,2.8698,0,34
18.57142857,32.42857143,3.428571429,0.514285714,17.42857143,95.57142857,85,1014.142857,1.328571429,21.64285714,3.008628571,0,35
17.57142857,30.14285714,3.428571429,0.528571429,19.14285714,92.71428571,85.14285714,1013.142857,1.542857143,22.07142857,3.146671429,0,36
15.85714286,28.42857143,3.428571429,0.528571429,19.14285714,92.71428571,83.57142857,1013.142857,1.542857143,21.85714286,3.280142857,0,37
14.85714286,26.14285714,3.428571429,0.542857143,20.71428571,84,81.71428571,1013.285714,1.542857143,21.92857143,3.385385714,0,38
15.57142857,26.42857143,3.571428571,0.585714286,22.71428571,80.42857143,83,1013.428571,1.542857143,21.14285714,3.486957143,0,39
16.28571429,26.28571429,3.571428571,0.6,23.85714286,76.71428571,82.85714286,1013.285714,1.757142857,20.57142857,3.587042857,0,40
17.14285714,26.71428571,3.428571429,0.6,23.28571429,76,82.85714286,1013.142857,1.971428571,20.21428571,3.672414286,0,41
137,131.1428571,8.571428571,2,56.57142857,62.28571429,78.57142857,915.5714286,3.371428571,-9.357142857,1.176628571,6,10
140.8571429,133.5714286,8.857142857,2.028571429,58.57142857,66.42857143,76.57142857,914.1428571,3.371428571,-9.928571429,1.144385714,8,11
142.8571429,139.5714286,9.428571429,2.057142857,61.14285714,71.14285714,73.57142857,914,3.371428571,-10.07142857,1.102,10,12
156.5714286,154.1428571,10.28571429,2.142857143,61.85714286,79,72.42857143,914.1428571,3.614285714,-9.142857143,1.046314286,11,13
