PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,Case,elapsed
33.5,31.5,6.5,0.6,20,111.5,90,1013,1.65,20.25,1.36515,0,0
30,28.66666667,6.333333333,0.566666667,17.33333333,103,91.66666667,1012,1.9,21.33333333,1.242866667,0,0
32.25,31.75,7,0.6,15.75,92.5,93,1012,2.025,21.5,1.14295,0,0
26.8,27,6.8,0.66,14.4,81.8,94.4,1011.4,2.1,20.6,1.07334,1,1
23.33333333,23.83333333,6.666666667,0.666666667,13.16666667,77.66666667,91.16666667,1011.333333,2.866666667,19.08333333,1.016183333,1,2
21.85714286,22.14285714,6.714285714,0.657142857,12.28571429,75.85714286,87.71428571,1011.571429,3.042857143,18,0.9792,6,3
20.57142857,20.57142857,6.714285714,0.642857143,10.57142857,69.42857143,83.71428571,1011.428571,3.042857143,16.78571429,0.880971429,6,4
20.42857143,20.71428571,7.142857143,0.642857143,8.714285714,68.57142857,78.57142857,1012,3.257142857,15.42857143,0.811957143,10,5
21.85714286,22.14285714,7.571428571,0.642857143,8.571428571,70.71428571,71.14285714,1012.714286,3.257142857,13.85714286,0.783985714,15,6
22.14285714,21.71428571,7.428571429,0.628571429,8.857142857,78,65,1013.285714,3.042857143,12.57142857,0.778828571,20,7
27.28571429,26.71428571,7.714285714,0.585714286,9.571428571,86.14285714,58.85714286,1014.142857,3.042857143,12.42857143,0.777857143,25,8
33.28571429,32.28571429,8.142857143,0.571428571,10.57142857,88.85714286,58.14285714,1014.714286,2.214285714,13.28571429,0.7965,29,9
33.28571429,32.14285714,8.285714286,0.571428571,11,86.71428571,62.85714286,1014.857143,2.214285714,13.92857143,0.803757143,30,10
28,35.5,4,0.9,19.5,99.5,82,1015.5,0.9,20.5,1.8772,0,0
24,32.33333333,4,0.833333333,18,92,84,1014.666667,0.9,21,1.7181,0,0
22.5,31.5,4.25,0.85,16.75,84.5,85,1014.5,1.275,21.375,1.580925,0,0
18.8,27.2,4,0.9,15.6,75.8,86.6,1014,1.2,20.6,1.49428,0,0
16.66666667,24.66666667,3.833333333,0.9,14.66666667,73.33333333,84.33333333,1014,1.4,19,1.408816667,3,1
16.28571429,23.57142857,3.857142857,0.871428571,14,74.14285714,81.71428571,1014.142857,1.542857143,17.78571429,1.351457143,4,2
14.71428571,21.42857143,3.857142857,0.828571429,12.57142857,71.28571429,78.28571429,1014.142857,1.542857143,16.57142857,1.212528571,11,3
15.85714286,21.85714286,4,0.771428571,12.28571429,74.57142857,75.14285714,1014.714286,1.542857143,15.28571429,1.102128571,16,4
18,23.14285714,4.142857143,0.742857143,12.28571429,80.42857143,72.14285714,1015.428571,1.542857143,14,1.048285714,16,5
19.71428571,24.28571429,4,0.685714286,13.14285714,86.57142857,69.42857143,1016.142857,1.328571429,12.78571429,1.030814286,16,6
23.71428571,28.14285714,4.142857143,0.614285714,13.85714286,96.14285714,66.42857143,1016.857143,1.328571429,12.71428571,1.015685714,19,7
27.85714286,31.71428571,4.285714286,0.571428571,15,99.71428571,67.71428571,1017.285714,1.328571429,13.57142857,1.032957143,20,8
