,date,city,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1),elapsed
388,2020-04-07,深圳,16.666666666666668,25.666666666666668,5.333333333333333,0.699999999999999,29.0,47.333333333333336,94.33333333333331,1011.3333333333334,1.9,17.666666666666668,3.256999999999998,0.001488228,2.0,1.0986122886681098,0.0014871216862053,74
389,2020-04-08,深圳,19.0,30.33333333333333,5.666666666666667,0.6333333333333323,30.666666666666668,65.33333333333333,93.0,1010.0,1.3999999999999997,17.166666666666668,3.8911999999999978,0.001488228,2.0,1.0986122886681098,0.0014871216862053,75
390,2020-01-22,苏州,88.0,71.0,2.0,1.2,45.0,47.0,92.0,1021.0,0.1,9.5,3.451,0.0,0.0,0.0,0.0,0
391,2020-01-23,苏州,58.0,51.0,2.5,0.8999999999999999,33.0,53.0,94.5,1021.0,1.25,8.5,3.19365,0.0,0.0,0.0,0.0,0
392,2020-01-24,苏州,53.66666666666666,53.333333333333336,2.6666666666666665,0.7999999999999999,26.33333333333333,66.0,94.0,1022.6666666666666,1.6333333333333335,8.666666666666666,2.8633,0.0,0.0,0.0,0.0,0
393,2020-01-25,苏州,30.0,38.66666666666666,2.6666666666666665,0.5333333333333333,14.666666666666666,72.66666666666667,92.33333333333331,1025.3333333333333,2.4000000000000004,8.0,2.2528666666666664,0.000930233,1.0,0.6931471805599453,0.0009298006014164,1
394,2020-01-26,苏州,23.666666666666668,31.666666666666668,2.333333333333333,0.4333333333333333,10.333333333333334,79.0,92.0,1027.0,2.4000000000000004,7.5,1.7794999999999996,0.004651163,5.0,1.791759469228055,0.0046403797648354,2
395,2020-01-27,苏州,18.0,20.33333333333333,2.0,0.4333333333333333,9.333333333333334,76.0,90.66666666666669,1024.6666666666667,3.833333333333334,6.5,1.554366666666666,0.005581396,6.0,1.9459101490553128,0.0055658777249936,3
396,2020-01-28,苏州,35.333333333333336,33.333333333333336,2.333333333333333,0.6,9.666666666666666,74.33333333333333,89.0,1022.0,3.833333333333334,5.5,1.518066666666666,0.0083720929999999,9.0,2.302585092994046,0.0083372414147655,4
397,2020-01-29,苏州,53.0,50.333333333333336,3.333333333333333,0.7666666666666666,11.0,82.66666666666667,84.0,1021.3333333333334,4.4,4.833333333333333,1.523466666666666,0.0120930229999999,13.0,2.6390573296152584,0.0120204866013674,5
398,2020-01-30,苏州,69.0,67.66666666666667,4.666666666666667,0.8999999999999999,13.0,89.33333333333333,75.33333333333333,1022.3333333333334,2.9666666666666672,4.666666666666667,1.494066666666666,0.0148837199999999,16.0,2.833213344056216,0.0147740443547174,6
399,2020-01-31,苏州,72.0,72.33333333333333,5.666666666666667,0.9333333333333332,18.33333333333333,104.33333333333331,67.0,1023.3333333333334,2.9666666666666672,4.166666666666667,1.490766666666666,0.0186046499999999,20.0,3.044522437723423,0.0184337005472854,7
400,2020-02-01,苏州,64.33333333333333,65.33333333333333,5.333333333333333,0.9,26.0,104.33333333333331,64.33333333333333,1024.0,1.900000000000001,4.5,1.4753999999999994,0.0130232549999999,14.0,2.70805020110221,0.0129391815677078,8
401,2020-02-02,苏州,47.333333333333336,48.333333333333336,4.666666666666667,0.7333333333333334,27.666666666666668,106.0,62.66666666666666,1025.3333333333333,1.400000000000001,5.166666666666667,1.464366666666666,0.0130232549999999,14.0,2.70805020110221,0.0129391815677078,9
402,2020-02-03,苏州,40.66666666666666,40.66666666666666,3.6666666666666665,0.6333333333333334,25.666666666666668,104.66666666666669,71.66666666666667,1025.6666666666667,0.6333333333333342,7.333333333333333,1.4784999999999993,0.0111627899999999,12.0,2.5649493574615367,0.0111009458694738,10
403,2020-02-04,苏州,36.0,38.66666666666666,3.6666666666666665,0.5666666666666668,20.33333333333333,104.66666666666669,74.66666666666667,1026.3333333333333,1.1333333333333342,7.833333333333333,1.4740333333333326,0.0167441849999999,18.0,2.9444389791664403,0.0166055465854982,11
404,2020-02-05,苏州,36.0,40.66666666666666,3.333333333333333,0.5333333333333335,18.0,100.0,79.33333333333333,1026.3333333333333,1.1333333333333342,8.0,1.4824666666666655,0.0158139529999999,17.0,2.8903717578961645,0.015690215262318,12
405,2020-02-06,苏州,22.0,28.666666666666668,3.0,0.4333333333333335,14.333333333333334,89.33333333333333,76.33333333333333,1028.3333333333333,2.4666666666666672,7.333333333333333,1.4150666666666656,0.0148837209999999,16.0,2.833213344056216,0.0147740453400518,13
406,2020-02-07,苏州,21.33333333333333,25.0,2.333333333333333,0.4000000000000002,11.0,81.33333333333333,80.0,1028.6666666666667,2.4666666666666672,7.0,1.3814666666666655,0.0158139539999999,17.0,2.8903717578961645,0.0156902162467501,14
407,2020-02-08,苏州,26.33333333333333,28.0,2.6666666666666665,0.4666666666666669,10.333333333333334,75.33333333333333,82.66666666666667,1029.6666666666667,2.9666666666666672,6.166666666666667,1.3520666666666656,0.0158139539999999,17.0,2.8903717578961645,0.0156902162467501,15
408,2020-02-09,苏州,40.333333333333336,40.0,3.0,0.5666666666666669,14.0,84.0,81.66666666666667,1029.6666666666667,2.400000000000001,5.666666666666667,1.3586666666666656,0.013953489,15.0,2.772588722239781,0.0138570352806921,16
409,2020-02-10,苏州,45.66666666666666,46.0,4.0,0.6333333333333336,17.0,90.66666666666669,80.0,1028.6666666666667,1.900000000000001,6.166666666666667,1.5497666666666656,0.0074418609999999,8.0,2.19722457733622,0.00741430697016,17
410,2020-02-11,苏州,43.66666666666666,42.0,3.6666666666666665,0.6000000000000002,18.0,94.66666666666669,71.0,1026.6666666666667,1.400000000000001,8.166666666666666,1.7164666666666657,0.0074418609999999,8.0,2.19722457733622,0.00741430697016,18
411,2020-02-12,苏州,36.333333333333336,34.666666666666664,4.0,0.6000000000000003,17.666666666666668,90.0,79.0,1022.3333333333334,0.6333333333333342,9.5,1.9426666666666657,0.0083720929999999,9.0,2.302585092994046,0.0083372414147655,19
412,2020-02-13,苏州,37.333333333333336,33.666666666666664,3.6666666666666665,0.6333333333333336,17.666666666666668,80.0,79.66666666666667,1019.3333333333334,0.6333333333333342,11.166666666666666,2.009966666666666,0.0074418609999999,8.0,2.19722457733622,0.00741430697016,20
413,2020-02-14,苏州,33.666666666666664,30.666666666666668,3.6666666666666665,0.6333333333333336,17.333333333333332,69.66666666666667,94.0,1016.6666666666666,1.1333333333333342,11.666666666666666,2.1532,0.004651163,5.0,1.791759469228055,0.0046403797648354,21
414,2020-02-15,苏州,25.33333333333333,22.666666666666668,3.333333333333333,0.6000000000000003,14.0,58.66666666666666,94.33333333333331,1016.0,1.900000000000001,12.333333333333334,2.079966666666666,0.0018604659999999,2.0,1.0986122886681098,0.0018587374767051,22
415,2020-02-16,苏州,18.666666666666668,21.666666666666668,3.333333333333333,0.5000000000000003,10.0,64.66666666666667,94.66666666666669,1019.0,3.833333333333334,10.5,1.9292666666666665,0.0009302329999999,1.0,0.6931471805599453,0.0009298006014164,23
416,2020-02-17,苏州,15.666666666666666,24.33333333333333,4.0,0.466666666666667,8.666666666666666,75.66666666666667,79.0,1024.0,4.4,6.666666666666667,2.0625,0.0009302329999999,1.0,0.6931471805599453,0.0009298006014164,24
417,2020-02-18,苏州,19.33333333333333,29.33333333333333,5.333333333333333,0.466666666666667,13.0,88.66666666666667,61.0,1029.0,3.9,4.0,2.393433333333333,0.0009302329999999,1.0,0.6931471805599453,0.0009298006014164,25
418,2020-02-19,苏州,21.0,27.0,5.333333333333333,0.466666666666667,16.333333333333332,95.66666666666669,53.0,1030.0,2.4666666666666672,3.8333333333333335,2.7911,0.0009302329999999,1.0,0.6931471805599453,0.0009298006014164,26
419,2020-02-20,苏州,22.666666666666668,26.33333333333333,5.0,0.4333333333333337,21.33333333333333,96.66666666666669,57.66666666666666,1029.0,1.9000000000000004,6.166666666666667,2.936533333333333,0.0009302329999999,1.0,0.6931471805599453,0.0009298006014164,27
420,2020-02-21,苏州,25.33333333333333,28.33333333333333,4.333333333333333,0.366666666666667,19.33333333333333,92.66666666666669,68.66666666666667,1029.0,2.966666666666667,8.666666666666666,3.091733333333333,-2.1684043449710093e-19,0.0,0.0,0.0,28
421,2020-02-22,苏州,34.333333333333336,48.333333333333336,5.0,0.4333333333333337,20.0,95.33333333333331,73.33333333333333,1029.3333333333333,2.966666666666667,10.166666666666666,3.0542,-2.1684043449710093e-19,0.0,0.0,0.0,29
422,2020-02-23,苏州,41.0,64.0,5.666666666666667,0.466666666666667,17.666666666666668,106.66666666666669,69.66666666666667,1031.0,2.966666666666667,11.166666666666666,2.8568666666666664,-2.1684043449710093e-19,0.0,0.0,0.0,30
423,2020-02-24,苏州,49.333333333333336,79.66666666666667,6.0,0.5333333333333337,20.666666666666668,124.66666666666669,68.33333333333333,1028.3333333333333,2.4000000000000004,11.333333333333334,3.0626,-2.1684043449710093e-19,0.0,0.0,0.0,31
424,2020-02-25,苏州,53.66666666666666,73.33333333333333,5.666666666666667,0.6000000000000004,26.33333333333333,110.0,64.66666666666667,1023.0,1.9000000000000004,14.5,3.469766666666666,-2.1684043449710093e-19,0.0,0.0,0.0,32
425,2020-02-26,苏州,49.66666666666666,62.66666666666666,4.666666666666667,0.6000000000000004,24.33333333333333,95.33333333333331,74.66666666666667,1019.0,1.9000000000000004,15.833333333333334,3.9742666666666655,-2.1684043449710093e-19,0.0,0.0,0.0,33
426,2020-02-27,苏州,41.333333333333336,53.66666666666666,3.6666666666666665,0.5333333333333337,21.33333333333333,81.66666666666667,75.0,1020.6666666666666,1.9000000000000004,14.666666666666666,4.075066666666666,-2.1684043449710093e-19,0.0,0.0,0.0,34
427,2020-02-28,苏州,30.0,42.66666666666666,3.333333333333333,0.466666666666667,18.0,83.0,75.0,1023.6666666666666,2.966666666666667,11.666666666666666,4.138833333333333,-2.1684043449710093e-19,0.0,0.0,0.0,35
