,,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1)
2020-01-22,东莞,36.0,36.0,7.0,0.7,19.0,123.0,86.0,1015.0,2.4,19.0,1.4579,0.0,0.0,0.0,0.0
2020-01-23,东莞,33.5,31.5,6.5,0.6,20.0,111.5,90.0,1013.0,1.65,20.25,1.3651499999999999,0.0,0.0,0.0,0.0
2020-01-24,东莞,30.0,28.666666666666668,6.333333333333333,0.5666666666666667,17.333333333333332,103.0,91.66666666666667,1012.0,1.8999999999999997,21.333333333333332,1.2428666666666666,0.0,0.0,0.0,0.0
2020-01-25,东莞,31.0,30.333333333333332,7.0,0.5666666666666667,14.666666666666666,82.33333333333333,95.33333333333333,1011.0,1.8999999999999997,22.333333333333332,1.0379666666666665,0.0,0.0,0.0,0.0
2020-01-26,东莞,22.333333333333332,24.0,7.0,0.7000000000000001,10.666666666666666,62.0,97.33333333333333,1010.3333333333334,2.4,20.833333333333332,0.8788,0.001181405,1.0,0.6931471805599453,0.0011807076902625056
2020-01-27,东莞,16.666666666666668,19.0,7.0,0.7666666666666666,9.0,52.333333333333336,90.66666666666667,1010.6666666666666,3.8333333333333326,16.833333333333332,0.7895,0.001181405,1.0,0.6931471805599453,0.0011807076902625056
2020-01-28,东莞,8.0,9.333333333333334,6.333333333333333,0.7333333333333334,7.666666666666667,53.666666666666664,80.66666666666667,1011.0,4.3999999999999995,13.333333333333334,0.7608666666666667,0.007088428000000001,6.0,1.9459101490553132,0.007063423187914638
2020-01-29,东莞,15.333333333333334,15.0,6.666666666666667,0.6333333333333334,7.0,66.66666666666667,66.66666666666667,1012.6666666666666,4.3999999999999995,11.166666666666666,0.7526666666666667,0.005907023000000001,5.0,1.791759469228055,0.005889644941119517
2020-01-30,东莞,23.333333333333332,21.666666666666668,7.666666666666667,0.5666666666666668,7.333333333333333,79.0,61.0,1014.0,2.9666666666666663,11.333333333333334,0.7723,0.010632642000000001,9.0,2.302585092994046,0.010576512978035307
2020-01-31,东莞,30.0,28.666666666666668,8.333333333333334,0.5333333333333333,8.666666666666666,91.0,53.0,1014.6666666666666,2.4,11.666666666666666,0.7873666666666667,0.010632642000000001,9.0,2.302585092994046,0.010576512978035307
2020-02-01,东莞,34.666666666666664,33.0,8.666666666666666,0.5333333333333333,10.666666666666666,102.33333333333333,51.666666666666664,1015.3333333333334,1.8999999999999997,12.5,0.7996333333333334,0.016539665000000002,14.0,2.70805020110221,0.016404374475967362
2020-02-02,东莞,38.333333333333336,38.0,8.333333333333334,0.5666666666666668,12.666666666666666,103.0,51.333333333333336,1015.3333333333334,1.8999999999999997,13.833333333333334,0.7992333333333335,0.018902474000000002,16.0,2.833213344056216,0.01872604210389936
2020-02-03,东莞,43.333333333333336,42.666666666666664,8.333333333333334,0.6000000000000001,13.666666666666666,94.66666666666667,60.333333333333336,1015.3333333333334,1.3999999999999997,15.5,0.8187000000000001,0.017721070000000002,15.0,2.772588722239781,0.017565882548647545
