,,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1)
2020-01-22,上海,78.0,44.0,5.0,1.2,55.0,69.0,97.0,1021.0,0.1,10.5,3.9841,0.0,0.0,0.0,0.0
2020-01-23,上海,56.0,32.5,4.5,0.95,45.0,67.5,97.5,1021.0,0.1,9.75,3.6416000000000004,0.002882865,7.0,2.0794415416798357,0.002878717513878813
2020-01-24,上海,52.0,39.0,4.666666666666667,0.8666666666666666,38.333333333333336,77.33333333333333,97.33333333333333,1022.6666666666666,0.3666666666666667,9.5,3.2540999999999998,0.004530216,11.0,2.4849066497880004,0.004519985457571693
2020-01-25,上海,42.5,32.75,4.5,0.7749999999999999,34.0,75.25,96.25,1024.25,0.30000000000000004,9.25,2.884675,0.009884107999999999,24.0,3.2188758248682006,0.009835579715052676
2020-01-26,上海,37.2,30.2,4.6,0.74,30.8,75.6,96.4,1024.4,0.42000000000000004,8.9,2.63122,0.012766973,31.0,3.4657359027997265,0.012686162278913778
2020-01-27,上海,35.0,28.833333333333332,4.5,0.7166666666666667,28.833333333333332,76.16666666666667,96.0,1023.3333333333334,0.5,8.666666666666666,2.45935,0.018120865,44.0,3.8066624897703196,0.01795863897857085
2020-01-28,上海,41.857142857142854,34.142857142857146,4.714285714285714,0.7714285714285715,28.285714285714285,74.14285714285714,94.57142857142857,1023.0,0.4428571428571429,8.142857142857142,2.3317857142857146,0.023474757,57.0,4.060443010546419,0.023203462405192186
2020-01-29,上海,40.42857142857143,35.714285714285715,5.142857142857143,0.7285714285714286,23.571428571428573,78.85714285714286,91.71428571428571,1023.4285714285714,0.4428571428571429,7.357142857142857,1.9845857142857144,0.035829893,87.0,4.477336814478207,0.03520293440971532
2020-01-30,上海,45.714285714285715,41.142857142857146,5.857142857142857,0.7857142857142858,21.714285714285715,83.42857142857143,85.28571428571429,1023.5714285714286,0.4428571428571429,6.928571428571429,1.7247571428571429,0.039536434,96.0,4.574710978503383,0.03877487724475918
2020-01-31,上海,46.42857142857143,39.57142857142857,6.428571428571429,0.8142857142857144,23.0,82.28571428571429,79.14285714285714,1023.2857142857143,0.4428571428571429,6.214285714285714,1.6016142857142859,0.047361354,115.0,4.7535901911063645,0.046274005104056236
2020-02-01,上海,48.714285714285715,41.285714285714285,6.857142857142857,0.8428571428571431,26.428571428571427,84.0,73.42857142857143,1023.0,0.4428571428571429,5.785714285714286,1.5727142857142857,0.05600995,136.0,4.919980925828125,0.05449760758816451
2020-02-02,上海,51.57142857142857,41.857142857142854,7.0,0.8428571428571431,28.285714285714285,87.42857142857143,69.28571428571429,1023.2857142857143,0.3285714285714286,5.785714285714286,1.5556857142857143,0.058480977,142.0,4.962844630259907,0.056834839773284095
2020-02-03,上海,56.714285714285715,45.0,7.285714285714286,0.8714285714285717,31.142857142857142,90.85714285714286,66.57142857142857,1024.4285714285713,0.21428571428571436,6.071428571428571,1.5896000000000003,0.06177568,150.0,5.017279836814924,0.059942676403332534
2020-02-04,上海,47.57142857142857,38.57142857142857,7.142857142857143,0.7857142857142859,31.714285714285715,95.0,64.57142857142857,1025.4285714285713,0.21428571428571436,6.571428571428571,1.6130285714285717,0.063011194,153.0,5.0369526024136295,0.061105629878212366
2020-02-05,上海,41.714285714285715,35.142857142857146,6.714285714285714,0.742857142857143,32.714285714285715,93.14285714285714,64.28571428571429,1025.857142857143,0.21428571428571436,7.0,1.6342714285714288,0.060540167000000006,147.0,4.997212273764115,0.05877836983575056
2020-02-06,上海,34.0,29.714285714285715,6.0,0.6571428571428574,31.714285714285715,90.42857142857143,66.71428571428571,1027.2857142857142,0.3285714285714286,7.285714285714286,1.6509285714285717,0.059716491000000003,145.0,4.983606621708336,0.05800141102906315
