,date,city,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1),elapsed
11628,2020-01-28,银川,61.333333333333336,73.33333333333333,14.0,1.0666666666666669,25.0,85.66666666666667,68.0,895.0,0.8999999999999999,-2.0,2.603633333333334,0.026165624,6.0,1.9459101490553128,0.0258291606212425,3
11629,2020-01-29,银川,67.0,79.0,12.666666666666666,1.1333333333333335,27.0,89.0,67.0,895.0,0.8999999999999999,-2.0,2.304700000000001,0.021804687,5.0,1.791759469228055,0.0215703649073676,4
11630,2020-01-30,银川,58.66666666666666,72.0,13.666666666666666,1.066666666666667,30.33333333333333,95.66666666666669,59.66666666666666,895.6666666666666,1.3999999999999997,-1.6666666666666667,2.0496666666666674,0.01744375,4.0,1.6094379124341005,0.0172933542511936,5
11631,2020-01-31,银川,55.66666666666666,70.33333333333333,17.333333333333332,1.1333333333333335,31.666666666666668,96.66666666666669,53.66666666666666,895.6666666666666,1.133333333333333,-0.6666666666666666,1.917933333333334,0.01744375,4.0,1.6094379124341005,0.0172933542511936,6
11632,2020-02-01,银川,45.333333333333336,63.66666666666666,21.0,1.1666666666666672,30.666666666666668,88.66666666666667,43.66666666666666,894.6666666666666,1.6333333333333329,-0.1666666666666666,1.8320666666666672,0.034887499,8.0,2.19722457733622,0.0342927241910694,7
11633,2020-02-02,银川,37.0,58.0,20.0,1.066666666666667,27.0,84.33333333333333,41.0,894.6666666666666,1.133333333333333,-0.5,1.8096666666666676,0.030526561,7.0,2.079441541679836,0.0300698958827801,8
11634,2020-02-03,银川,33.0,58.0,23.0,1.1333333333333335,26.666666666666668,78.0,35.333333333333336,896.0,1.9,-1.8333333333333333,1.8732666666666675,0.034887498,8.0,2.19722457733622,0.0342927232247807,9
11635,2020-02-04,银川,40.333333333333336,65.66666666666667,25.0,1.2666666666666673,31.0,94.0,39.333333333333336,895.3333333333334,1.3999999999999997,-2.6666666666666665,1.9154333333333344,0.021804686,5.0,1.791759469228055,0.0215703639287071,10
11636,2020-02-05,银川,46.333333333333336,70.33333333333333,30.666666666666668,1.5000000000000009,35.0,95.66666666666669,35.333333333333336,894.3333333333334,1.3999999999999997,-2.6666666666666665,1.9302666666666677,0.017443749,4.0,1.6094379124341005,0.0172933532683382,11
11637,2020-02-06,银川,54.0,78.66666666666667,33.666666666666664,1.533333333333334,36.66666666666666,106.33333333333331,38.333333333333336,893.0,0.8999999999999999,-2.0,1.8507333333333345,0.026165624,6.0,1.9459101490553128,0.0258291606212425,12
11638,2020-02-07,银川,56.66666666666666,79.66666666666667,31.33333333333333,1.4666666666666677,35.0,99.66666666666669,39.333333333333336,894.0,0.8999999999999999,-1.5,1.8230333333333344,0.030526562,7.0,2.079441541679836,0.0300698968531577,13
11639,2020-02-08,银川,56.66666666666666,78.33333333333333,26.666666666666668,1.3000000000000007,33.666666666666664,103.66666666666669,43.66666666666666,896.3333333333334,0.6333333333333333,-1.1666666666666667,1.7632666666666676,0.039248437,9.0,2.302585092994046,0.0384977951802701,14
11640,2020-02-09,银川,47.66666666666666,65.0,19.33333333333333,1.066666666666667,31.666666666666668,98.33333333333331,42.66666666666666,899.0,0.6333333333333333,-0.6666666666666666,1.7230666666666676,0.01744375,4.0,1.6094379124341005,0.0172933542511936,15
11641,2020-02-10,银川,42.0,61.0,20.33333333333333,1.0000000000000009,33.0,98.33333333333331,39.0,898.3333333333334,0.6333333333333333,0.6666666666666666,1.860866666666668,0.008721875,2.0,1.0986122886681098,0.0086840591724458,16
11642,2020-02-11,银川,43.66666666666666,65.0,22.666666666666668,1.066666666666667,38.333333333333336,101.0,32.666666666666664,894.6666666666666,0.8999999999999999,1.5,2.020566666666668,0.008721875,2.0,1.0986122886681098,0.0086840591724458,17
11643,2020-02-12,银川,53.0,79.0,25.33333333333333,1.2000000000000008,44.333333333333336,107.0,33.0,889.6666666666666,0.6333333333333333,2.833333333333333,2.177966666666668,0.013082812,3.0,1.3862943611198906,0.0129979711848825,18
11644,2020-02-13,银川,55.0,97.66666666666669,24.33333333333333,1.1666666666666676,42.0,105.66666666666669,33.0,886.3333333333334,0.6333333333333333,3.1666666666666665,2.1379333333333346,0.017443749,4.0,1.6094379124341005,0.0172933532683382,19
11645,2020-02-14,银川,45.333333333333336,102.66666666666669,20.33333333333333,0.9666666666666672,30.666666666666668,90.66666666666669,30.33333333333333,887.6666666666666,1.7,3.0,2.109866666666668,0.008721874,2.0,1.0986122886681098,0.0086840581810922,20
11646,2020-02-15,银川,31.666666666666668,86.66666666666667,15.333333333333334,0.733333333333334,20.0,78.33333333333333,31.666666666666668,895.0,3.033333333333333,-1.0,1.958700000000001,0.008721874,2.0,1.0986122886681098,0.0086840581810922,21
11647,2020-02-16,银川,22.0,57.0,13.0,0.6000000000000006,18.666666666666668,76.33333333333333,33.666666666666664,902.3333333333334,3.033333333333333,-4.666666666666667,1.8207666666666675,0.004360937,1.0,0.6931471805599453,0.0043514556692375,22
11648,2020-02-17,银川,25.33333333333333,42.333333333333336,15.666666666666666,0.7000000000000006,26.666666666666668,88.33333333333333,37.333333333333336,906.3333333333334,1.7,-6.5,1.884266666666668,0.004360937,1.0,0.6931471805599453,0.0043514556692375,23
11649,2020-02-18,银川,31.0,52.0,19.0,0.8000000000000007,32.666666666666664,94.0,35.666666666666664,903.3333333333334,0.6333333333333334,-4.166666666666667,2.0599666666666674,6.938893903907228e-18,0.0,0.0,0.0,24
11650,2020-02-19,银川,43.66666666666666,134.66666666666666,21.33333333333333,0.8333333333333339,31.666666666666668,97.66666666666669,32.0,900.0,0.6333333333333334,-1.6666666666666667,2.2473000000000005,6.938893903907228e-18,0.0,0.0,0.0,25
11651,2020-02-20,银川,45.333333333333336,183.66666666666663,18.666666666666668,0.733333333333334,24.33333333333333,93.33333333333331,30.33333333333333,896.3333333333334,1.4000000000000004,0.3333333333333333,2.2414333333333336,6.938893903907228e-18,0.0,0.0,0.0,26
11652,2020-02-21,银川,41.333333333333336,186.33333333333331,14.333333333333334,0.633333333333334,17.333333333333332,93.33333333333331,26.0,896.6666666666666,1.9000000000000004,0.8333333333333334,2.2782000000000004,6.938893903907228e-18,0.0,0.0,0.0,27
11653,2020-02-22,银川,28.33333333333333,108.0,12.666666666666666,0.6000000000000006,17.333333333333332,89.66666666666667,27.33333333333333,899.3333333333334,1.9000000000000004,0.3333333333333333,2.1741333333333337,6.938893903907228e-18,0.0,0.0,0.0,28
11654,2020-02-23,银川,35.666666666666664,83.33333333333333,23.33333333333333,0.933333333333334,29.33333333333333,90.66666666666669,31.33333333333333,899.0,1.4000000000000004,0.8333333333333334,2.069466666666667,6.938893903907228e-18,0.0,0.0,0.0,29
11655,2020-02-24,银川,44.333333333333336,99.33333333333331,31.33333333333333,1.133333333333334,37.0,97.0,32.666666666666664,894.0,0.9000000000000005,2.333333333333333,2.1879000000000004,6.938893903907228e-18,0.0,0.0,0.0,30
