,date,city,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1),elapsed
2775,2020-03-07,金华,23.142857142857142,36.71428571428572,5.0,0.6142857142857145,31.285714285714285,60.71428571428572,82.71428571428571,1015.0,1.5428571428571431,10.857142857142858,3.890085714285716,2.6020852139652106e-18,0.0,0.0,0.0,43
2776,2020-03-08,金华,25.428571428571427,40.142857142857146,5.428571428571429,0.585714285714286,31.714285714285715,61.85714285714285,81.85714285714286,1014.8571428571428,1.5428571428571431,10.857142857142858,3.983600000000002,2.6020852139652106e-18,0.0,0.0,0.0,44
2777,2020-03-09,金华,25.714285714285715,39.85714285714285,5.571428571428571,0.585714285714286,32.714285714285715,59.71428571428572,84.42857142857143,1012.7142857142856,1.7571428571428576,11.571428571428571,4.046685714285715,2.6020852139652106e-18,0.0,0.0,0.0,45
2778,2020-03-10,金华,23.714285714285715,38.0,5.714285714285714,0.5714285714285715,31.857142857142858,65.0,83.0,1011.0,2.0000000000000004,12.0,4.1325,2.6020852139652106e-18,0.0,0.0,0.0,46
2779,2020-03-11,金华,23.142857142857142,38.285714285714285,6.0,0.585714285714286,33.142857142857146,72.14285714285714,81.28571428571429,1010.7142857142856,2.0000000000000004,12.214285714285714,4.227114285714285,2.6020852139652106e-18,0.0,0.0,0.0,47
2780,2020-03-12,金华,24.714285714285715,38.0,5.857142857142857,0.6142857142857144,34.42857142857143,67.28571428571429,78.42857142857143,1009.5714285714286,2.2142857142857144,13.142857142857142,4.273528571428572,2.6020852139652106e-18,0.0,0.0,0.0,48
2781,2020-03-13,金华,26.0,39.57142857142857,5.714285714285714,0.642857142857143,35.857142857142854,61.285714285714285,83.42857142857143,1009.0,2.0000000000000004,13.357142857142858,4.3388,2.6020852139652106e-18,0.0,0.0,0.0,49
2782,2020-03-14,金华,23.142857142857142,39.71428571428572,5.428571428571429,0.6142857142857144,33.857142857142854,70.0,83.42857142857143,1010.0,1.885714285714286,13.357142857142858,4.408028571428571,2.6020852139652106e-18,0.0,0.0,0.0,50
2783,2020-03-15,金华,22.857142857142858,43.85714285714285,5.857142857142857,0.6000000000000002,34.285714285714285,79.42857142857143,81.42857142857143,1010.7142857142856,1.6714285714285717,13.071428571428571,4.481471428571427,2.6020852139652106e-18,0.0,0.0,0.0,51
2784,2020-03-16,金华,26.428571428571427,51.42857142857143,6.285714285714286,0.585714285714286,37.142857142857146,92.42857142857144,76.28571428571429,1012.4285714285714,1.4571428571428573,13.0,4.552771428571427,2.6020852139652106e-18,0.0,0.0,0.0,52
2785,2020-03-17,金华,32.42857142857143,61.71428571428572,7.428571428571429,0.6000000000000003,41.85714285714285,92.42857142857144,72.71428571428571,1013.7142857142856,1.0000000000000002,13.5,4.601771428571428,2.6020852139652106e-18,0.0,0.0,0.0,53
2786,2020-03-18,金华,35.285714285714285,66.71428571428571,9.285714285714286,0.6000000000000003,42.57142857142857,93.42857142857144,70.0,1013.1428571428572,1.2142857142857146,14.142857142857142,4.6487,2.6020852139652106e-18,0.0,0.0,0.0,54
2787,2020-03-19,金华,36.0,72.28571428571429,10.714285714285714,0.6000000000000003,42.0,101.71428571428572,71.57142857142857,1012.1428571428572,1.0000000000000002,14.785714285714286,4.714171428571428,2.6020852139652106e-18,0.0,0.0,0.0,55
2788,2020-03-20,金华,34.285714285714285,76.42857142857143,10.857142857142858,0.5714285714285717,39.42857142857143,118.85714285714286,64.14285714285714,1012.0,1.2142857142857146,15.642857142857142,4.774957142857142,2.6020852139652106e-18,0.0,0.0,0.0,56
2789,2020-03-21,金华,37.85714285714285,79.71428571428571,11.142857142857142,0.6000000000000003,40.57142857142857,119.14285714285714,58.42857142857143,1010.7142857142856,1.5428571428571431,16.714285714285715,4.8275,2.6020852139652106e-18,0.0,0.0,0.0,57
2790,2020-03-22,金华,37.142857142857146,74.0,10.428571428571429,0.6142857142857145,38.0,117.85714285714286,58.142857142857146,1009.1428571428572,1.5428571428571431,18.214285714285715,4.855771428571429,2.6020852139652106e-18,0.0,0.0,0.0,58
2791,2020-03-23,金华,33.857142857142854,70.57142857142857,10.0,0.6142857142857145,36.285714285714285,110.71428571428572,62.142857142857146,1008.5714285714286,2.0000000000000004,18.928571428571427,4.8843000000000005,2.6020852139652106e-18,0.0,0.0,0.0,59
2792,2020-03-24,金华,30.285714285714285,65.28571428571429,9.142857142857142,0.585714285714286,36.285714285714285,107.71428571428572,63.142857142857146,1008.2857142857144,2.2142857142857144,19.0,4.921485714285715,2.6020852139652106e-18,0.0,0.0,0.0,60
2793,2020-03-25,金华,27.428571428571427,60.42857142857143,7.142857142857143,0.5714285714285715,35.42857142857143,106.0,60.71428571428572,1008.0,2.2142857142857144,19.857142857142858,4.957014285714286,2.6020852139652106e-18,0.0,0.0,0.0,61
2794,2020-03-26,金华,25.714285714285715,54.0,5.428571428571429,0.5714285714285715,34.714285714285715,99.0,61.71428571428572,1007.7142857142856,2.2142857142857144,20.571428571428573,4.981628571428572,2.6020852139652106e-18,0.0,0.0,0.0,62
2795,2020-03-27,金华,22.571428571428573,44.42857142857143,4.857142857142857,0.5857142857142857,33.57142857142857,83.42857142857143,69.28571428571429,1007.2857142857144,2.2142857142857144,20.142857142857142,4.9740142857142855,2.6020852139652106e-18,0.0,0.0,0.0,63
2796,2020-03-28,金华,17.142857142857142,35.714285714285715,4.142857142857143,0.5428571428571429,31.142857142857142,78.85714285714286,74.14285714285714,1008.1428571428572,2.4571428571428577,18.214285714285715,4.939057142857143,2.6020852139652106e-18,0.0,0.0,0.0,64
2797,2020-03-29,金华,17.0,35.0,4.0,0.5285714285714287,33.714285714285715,67.85714285714286,76.14285714285714,1010.1428571428572,2.671428571428572,16.142857142857142,4.903242857142857,2.6020852139652106e-18,0.0,0.0,0.0,65
2798,2020-03-30,金华,16.571428571428573,30.714285714285715,3.7142857142857135,0.5428571428571429,33.57142857142857,59.57142857142857,78.28571428571429,1010.2857142857144,2.1000000000000005,14.785714285714286,4.900642857142857,2.6020852139652106e-18,0.0,0.0,0.0,66
2799,2020-03-31,金华,16.142857142857142,27.0,3.142857142857143,0.5714285714285715,31.285714285714285,52.142857142857146,82.57142857142857,1010.2857142857144,1.8857142857142863,14.0,4.873028571428571,2.6020852139652106e-18,0.0,0.0,0.0,67
2800,2020-04-01,金华,15.0,24.428571428571427,3.2857142857142856,0.585714285714286,30.714285714285715,47.57142857142857,89.42857142857143,1010.4285714285714,1.8857142857142863,12.357142857142858,4.867785714285714,2.6020852139652106e-18,0.0,0.0,0.0,68
2801,2020-04-02,金华,16.428571428571427,28.0,3.7142857142857135,0.585714285714286,33.857142857142854,44.57142857142857,91.0,1012.0,1.8857142857142863,11.142857142857142,4.852314285714284,2.6020852139652106e-18,0.0,0.0,0.0,69
2802,2020-04-03,金华,19.714285714285715,33.42857142857143,3.857142857142857,0.5714285714285717,35.42857142857143,48.0,89.14285714285714,1013.2857142857144,1.6714285714285722,10.857142857142858,4.862471428571427,2.6020852139652106e-18,0.0,0.0,0.0,70
