,,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1)
2020-02-01,绍兴,36.42857142857143,41.42857142857143,3.2857142857142856,0.7714285714285715,13.285714285714286,88.85714285714286,87.71428571428571,1024.0,1.885714285714286,5.785714285714286,1.8436571428571433,0.03954914,20.0,3.044522437723423,0.03878709992588322
2020-02-02,绍兴,39.285714285714285,44.857142857142854,3.4285714285714284,0.7571428571428572,13.285714285714286,92.42857142857143,85.28571428571429,1024.0,1.7714285714285716,5.857142857142857,1.717128571428572,0.043504054,22.0,3.1354942159291497,0.04258433252996758
2020-02-03,绍兴,43.857142857142854,50.857142857142854,3.857142857142857,0.7428571428571429,13.285714285714286,98.85714285714286,83.14285714285714,1024.857142857143,1.3142857142857145,6.214285714285714,1.6614142857142862,0.047458968,24.0,3.2188758248682006,0.046367200686556045
2020-02-04,绍兴,44.42857142857143,52.57142857142857,4.142857142857143,0.6857142857142857,13.142857142857142,102.42857142857143,83.0,1025.5714285714287,1.642857142857143,6.714285714285714,1.6211857142857145,0.045481510999999995,23.0,3.1780538303479458,0.04447755536863152
2020-02-05,绍兴,42.0,50.42857142857143,4.142857142857143,0.6571428571428571,13.0,104.42857142857143,85.42857142857143,1025.857142857143,1.5285714285714287,6.928571428571429,1.6054857142857144,0.021752026999999997,11.0,2.4849066497880004,0.02151882731151744
2020-02-06,绍兴,34.714285714285715,43.142857142857146,3.857142857142857,0.5857142857142856,12.428571428571429,101.0,86.85714285714286,1026.857142857143,1.5285714285714287,7.214285714285714,1.5704,0.027684397999999995,14.0,2.70805020110221,0.02730811406045795
2020-02-07,绍兴,27.428571428571427,34.57142857142857,3.5714285714285716,0.5285714285714286,11.857142857142858,95.28571428571429,88.42857142857143,1027.4285714285713,1.5285714285714287,7.357142857142857,1.5323714285714287,0.021752026999999993,11.0,2.4849066497880004,0.02151882731151744
2020-02-08,绍兴,26.857142857142858,33.714285714285715,3.4285714285714284,0.5285714285714286,11.714285714285714,91.57142857142857,92.0,1027.857142857143,1.2,7.285714285714286,1.4894428571428573,0.023729483999999995,12.0,2.5649493574615367,0.023452315935497587
2020-02-09,绍兴,28.0,34.714285714285715,3.2857142857142856,0.5428571428571428,11.142857142857142,90.28571428571429,94.28571428571429,1028.7142857142858,1.5285714285714287,7.071428571428571,1.4564714285714289,0.021752026999999997,11.0,2.4849066497880004,0.02151882731151744
2020-02-10,绍兴,25.857142857142858,32.142857142857146,3.0,0.5428571428571428,10.857142857142858,85.42857142857143,95.28571428571429,1028.857142857143,1.742857142857143,6.714285714285714,1.4459428571428572,0.021752026999999997,11.0,2.4849066497880004,0.02151882731151744
