,Unnamed: 0,date,city,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1),elapsed
6876,6876,2020-02-03,菏泽,99.57142857142857,128.42857142857142,13.857142857142858,0.9714285714285712,15.857142857142858,95.57142857142857,78.14285714285714,1019.2857142857144,1.457142857142857,3.6428571428571432,2.2607285714285714,0.006832391,6.0,1.9459101490553128,0.0068091559903526,8
6877,6877,2020-02-04,菏泽,104.57142857142857,136.14285714285714,13.0,0.9857142857142854,15.714285714285715,94.28571428571428,73.85714285714286,1019.4285714285713,1.6714285714285713,4.142857142857143,2.273528571428572,0.005693659,5.0,1.791759469228055,0.0056775113872693,9
6878,6878,2020-02-05,菏泽,95.42857142857143,126.28571428571428,11.0,0.9142857142857138,15.428571428571427,87.7142857142857,73.0,1020.1428571428572,2.128571428571429,4.214285714285714,2.273957142857144,0.005693659,5.0,1.791759469228055,0.0056775113872693,10
6879,6879,2020-02-06,菏泽,84.0,112.71428571428572,10.428571428571429,0.8285714285714281,15.142857142857142,79.14285714285714,68.57142857142857,1021.2857142857144,2.1285714285714286,3.8571428571428568,2.232971428571429,0.006832391,6.0,1.9459101490553128,0.0068091559903526,11
6880,6880,2020-02-07,菏泽,75.42857142857143,101.85714285714286,9.857142857142858,0.7571428571428566,14.285714285714285,72.0,71.14285714285714,1022.2857142857144,2.1285714285714286,3.2142857142857144,2.2477714285714296,0.005693659,5.0,1.791759469228055,0.0056775113872693,12
6881,6881,2020-02-08,菏泽,66.14285714285714,90.14285714285714,8.857142857142858,0.6714285714285708,13.0,68.0,71.14285714285714,1023.2857142857144,2.1285714285714286,2.7857142857142856,2.2362000000000006,0.006832391,6.0,1.9459101490553128,0.0068091559903526,13
6944,6944,2020-01-24,萍乡,45.0,60.0,9.0,2.0,26.66666666666667,18.33333333333333,94.0,1006.6666666666665,1.9666666666666668,9.166666666666666,5.088966666666667,0.0,0.0,0.0,0.0,0
6945,6945,2020-01-25,萍乡,44.75,56.75,8.25,1.825,23.25,21.5,95.25,1007.75,1.7000000000000002,8.625,4.758125,0.0,0.0,0.0,0.0,0
6946,6946,2020-01-26,萍乡,42.0,52.4,7.6,1.6800000000000002,20.6,24.8,96.0,1008.2,1.8400000000000003,7.8,4.53808,0.005151187,1.0,0.6931471805599453,0.0051379650227259994,1
6947,6947,2020-01-27,萍乡,43.0,52.83333333333334,7.333333333333332,1.5833333333333333,18.83333333333333,29.0,95.83333333333331,1008.6666666666665,1.9333333333333336,7.083333333333332,4.281383333333333,0.005151187,1.0,0.6931471805599453,0.0051379650227259994,2
6948,6948,2020-01-28,萍乡,43.42857142857143,53.0,7.2857142857142865,1.5,17.857142857142858,34.714285714285715,94.85714285714286,1008.8571428571428,2.0000000000000004,6.571428571428571,4.111228571428572,0.005151187,1.0,0.6931471805599453,0.0051379650227259994,3
