,Unnamed: 0,date,city,PM2.5,PM10,SO2,CO,NO2,O3,HUM,PRES,WSPD,TEMP,ACTV,MORB%,Case,log(Case+1),log(MORB%+1),elapsed
0,0,2020-01-22,上海,78.0,44.0,5.0,1.2,55.0,69.0,97.0,1021.0,0.1,10.5,3.9841,0.0,0.0,0.0,0.0,0
1,1,2020-01-23,上海,56.0,32.5,4.5,0.95,45.0,67.5,97.5,1021.0,0.1,9.75,3.6416,0.002882865,7.0,2.0794415416798357,0.0028787175138788,1
2,2,2020-01-24,上海,52.0,39.0,4.666666666666667,0.8666666666666666,38.333333333333336,77.33333333333333,97.33333333333331,1022.6666666666665,0.3666666666666667,9.5,3.2541,0.004530216,11.0,2.4849066497880004,0.0045199854575716,2
3,3,2020-01-25,上海,30.66666666666667,29.0,4.333333333333333,0.6333333333333332,27.0,77.33333333333333,96.0,1025.3333333333333,0.3666666666666667,8.833333333333334,2.5182,0.0098841079999999,24.0,3.218875824868201,0.0098355797150526,3
4,4,2020-01-26,上海,24.66666666666667,28.66666666666667,4.666666666666667,0.5999999999999999,21.33333333333333,81.0,95.66666666666669,1026.6666666666667,0.6333333333333333,8.333333333333334,1.9576333333333336,0.0098841079999999,24.0,3.218875824868201,0.0098355797150526,4
5,5,2020-01-27,上海,18.0,18.666666666666668,4.333333333333333,0.5666666666666665,19.33333333333333,75.0,94.66666666666669,1024.0,0.6333333333333333,7.833333333333332,1.6646000000000003,0.0135906489999999,33.0,3.5263605246161616,0.0134991244494821,5
6,6,2020-01-28,上海,41.0,36.0,5.0,0.7666666666666666,20.666666666666668,72.66666666666667,92.33333333333331,1021.3333333333335,0.6333333333333333,6.666666666666668,1.5946000000000005,0.013590649,33.0,3.5263605246161616,0.0134991244494821,6
7,7,2020-01-29,上海,58.33333333333334,47.66666666666666,6.0,0.8666666666666666,22.0,81.0,85.66666666666667,1021.0,0.3666666666666667,5.833333333333332,1.5733666666666668,0.02306292,56.0,4.043051267834549,0.0228009904544555,7
8,8,2020-01-30,上海,74.0,60.0,7.666666666666668,1.0333333333333332,23.0,87.33333333333331,72.0,1022.3333333333335,0.1,5.333333333333333,1.5334666666666668,0.024298434,59.0,4.0943445622220995,0.0240079236102132,8
9,9,2020-01-31,上海,62.66666666666666,51.66666666666666,8.666666666666666,0.9666666666666665,26.0,96.33333333333331,61.33333333333334,1023.3333333333335,0.3666666666666667,5.0,1.550366666666667,0.028416813,69.0,4.248495242049359,0.0280205449729639,9
10,10,2020-02-01,上海,50.0,42.0,8.333333333333334,0.8999999999999999,33.666666666666664,89.33333333333331,53.33333333333334,1024.3333333333333,0.3666666666666667,5.166666666666667,1.5571666666666668,0.0300641649999999,73.0,4.30406509320417,0.0296210964177267,10
11,11,2020-02-02,上海,38.333333333333336,30.33333333333333,7.333333333333332,0.7333333333333333,36.66666666666666,90.33333333333331,58.33333333333334,1026.0,0.3666666666666667,5.666666666666668,1.5631333333333337,0.0288286509999999,70.0,4.262679877041316,0.0284209230636763,11
12,12,2020-02-03,上海,42.0,31.33333333333333,6.333333333333332,0.7000000000000001,38.333333333333336,95.0,65.33333333333333,1026.6666666666667,0.1,7.5,1.636566666666667,0.028004975,68.0,4.23410650459726,0.0276200065154264,12
78,78,2020-01-22,北京,66.0,70.0,8.0,1.1,52.0,42.0,66.0,1020.0,0.1,-1.0,3.9546,0.0,0.0,0.0,0.0,0
79,79,2020-01-23,北京,61.0,66.5,7.0,1.0,44.0,56.5,66.5,1020.0,0.1,-0.25,3.5260000000000002,0.005572065,12.0,2.5649493574615367,0.0055565984728818,1
80,80,2020-01-24,北京,66.0,70.0,6.666666666666668,0.9,36.333333333333336,62.0,66.33333333333333,1024.0,0.3666666666666667,0.1666666666666666,3.1516333333333333,0.012072808,26.0,3.2958368660043287,0.0120005129414123,2
81,81,2020-01-25,北京,92.33333333333331,100.33333333333331,7.333333333333332,0.8666666666666667,30.0,71.0,68.33333333333333,1028.0,0.6333333333333333,0.1666666666666666,2.4418999999999995,0.014394502,31.0,3.4657359027997265,0.014291884733455,3
82,82,2020-01-26,北京,124.33333333333331,128.33333333333334,9.0,1.1333333333333333,30.66666666666667,72.33333333333333,71.0,1031.0,0.6333333333333333,0.0,1.9609,0.021359583999999997,46.0,3.8501476017100575,0.0211346652298049,4
83,83,2020-01-27,北京,151.66666666666666,148.33333333333334,10.333333333333334,1.5,36.0,75.0,75.0,1029.0,0.3666666666666667,-0.5,1.6535333333333329,0.020430906000000002,44.0,3.80666248977032,0.0202249949491484,5
84,84,2020-01-28,北京,160.33333333333334,143.66666666666666,11.333333333333336,1.8666666666666665,38.333333333333336,88.33333333333331,74.33333333333333,1025.0,0.3666666666666667,0.0,1.5070666666666659,0.023216939,50.0,3.9318256327243257,0.0229515260711879,6
85,85,2020-01-29,北京,133.0,111.66666666666669,10.0,1.633333333333333,34.666666666666664,90.33333333333331,72.0,1022.6666666666665,0.3666666666666667,0.1666666666666666,1.438866666666666,0.019966568,43.0,3.7841896339182615,0.0197698502884313,7
86,86,2020-01-30,北京,95.66666666666669,82.0,8.333333333333334,1.2999999999999998,31.33333333333333,90.33333333333331,66.66666666666667,1021.3333333333335,0.6333333333333333,0.6666666666666666,1.3929666666666662,0.015787519,34.0,3.5553480614894135,0.0156641924420298,8
87,87,2020-01-31,北京,53.33333333333334,48.66666666666666,5.333333333333333,0.8666666666666664,27.0,80.66666666666667,64.33333333333333,1021.3333333333335,0.6333333333333333,0.5,1.4353999999999996,0.022288262000000003,48.0,3.8918202981106265,0.022043508762453,9
88,88,2020-02-01,北京,33.0,37.0,3.6666666666666665,0.633333333333333,21.33333333333333,77.66666666666667,47.66666666666666,1021.3333333333335,1.4,0.8333333333333334,1.4442666666666664,0.026467311,57.0,4.060443010546419,0.0261231118650603,10
89,89,2020-02-02,北京,28.0,31.66666666666667,2.6666666666666665,0.4999999999999996,16.0,73.33333333333333,47.0,1022.3333333333335,1.9,0.6666666666666666,1.4468333333333332,0.035754087000000004,77.0,4.356708826689592,0.0351297479004877,11
90,90,2020-02-03,北京,19.33333333333333,25.33333333333333,2.0,0.3666666666666663,11.666666666666664,69.0,31.0,1025.0,2.4,0.0,1.5447666666666662,0.033896731,73.0,4.30406509320417,0.033334897791023,12
156,156,2020-01-22,广州,28.0,44.0,5.0,0.9,39.0,113.0,81.0,1017.0,0.9,19.0,2.4538,0.0,0.0,0.0,0.0,0
157,157,2020-01-23,广州,26.5,41.5,5.0,0.8500000000000001,36.5,110.5,81.0,1015.5,0.5,20.25,2.2493,0.0,0.0,0.0,0.0,0
158,158,2020-01-24,广州,24.33333333333333,38.333333333333336,5.0,0.8000000000000002,32.333333333333336,101.0,83.33333333333333,1014.6666666666665,0.6333333333333333,21.33333333333333,2.0201,0.0,0.0,0.0,0.0,0
159,159,2020-01-25,广州,24.66666666666667,36.333333333333336,5.333333333333333,0.8333333333333335,25.33333333333333,74.33333333333333,83.0,1013.6666666666665,0.6333333333333333,21.83333333333333,1.5994,0.0045733999999999,7.0,2.0794415416798357,0.0045629737829747,1
160,160,2020-01-26,广州,18.666666666666668,26.33333333333333,5.0,0.9,19.0,49.66666666666666,86.66666666666669,1013.3333333333335,1.4,19.666666666666668,1.2920333333333331,0.0065334279999999,10.0,2.3978952727983707,0.0065121776674109,2
161,161,2020-01-27,广州,15.333333333333336,20.0,4.666666666666667,0.9333333333333332,14.666666666666664,41.333333333333336,81.33333333333333,1013.6666666666665,1.9,15.166666666666664,1.0923666666666667,0.022213656000000002,34.0,3.5553480614894135,0.0219705266836627,3
162,162,2020-01-28,广州,10.0,12.666666666666664,4.0,0.7999999999999999,12.0,54.33333333333334,75.33333333333333,1014.3333333333335,2.9666666666666663,12.0,1.0108,0.024173683999999997,37.0,3.6375861597263857,0.0238861255158597,4
163,163,2020-01-29,广州,15.333333333333336,19.0,4.333333333333333,0.6999999999999998,10.666666666666666,71.33333333333333,62.66666666666666,1015.6666666666665,2.9666666666666663,10.833333333333336,0.9490333333333334,0.03005377,46.0,3.8501476017100575,0.0296110047624643,5
164,164,2020-01-30,广州,21.66666666666667,26.0,4.666666666666667,0.6333333333333332,11.333333333333336,86.0,52.33333333333334,1016.6666666666665,2.9666666666666663,11.666666666666664,0.9391000000000002,0.03462717,53.0,3.9889840465642745,0.0340411395995004,6
165,165,2020-01-31,广州,27.66666666666667,32.666666666666664,5.333333333333333,0.6333333333333332,15.333333333333336,98.66666666666669,50.0,1017.3333333333335,1.6333333333333329,12.166666666666664,0.9517,0.039853913,61.0,4.127134385045092,0.0390802350174591,7
166,166,2020-02-01,广州,33.333333333333336,40.0,5.666666666666668,0.6333333333333332,22.33333333333333,109.0,51.66666666666666,1017.6666666666665,1.133333333333333,13.0,0.9648333333333332,0.0568408259999999,87.0,4.477336814478207,0.055284105198187994,8
167,167,2020-02-02,广州,35.666666666666664,44.66666666666666,6.0,0.6666666666666665,26.33333333333333,105.0,59.66666666666666,1017.6666666666665,0.633333333333333,14.166666666666664,0.9700333333333332,0.0555341399999999,85.0,4.4543472962535064,0.0540469326434103,9
168,168,2020-02-03,广州,39.0,49.33333333333334,5.666666666666668,0.7333333333333333,28.0,83.66666666666667,63.0,1017.6666666666665,0.633333333333333,15.333333333333336,1.0076,0.057494168,88.0,4.48863636973214,0.0559021170294719,10
234,234,2020-01-22,成都,107.0,124.0,7.0,1.0,42.0,63.0,69.0,960.0,2.4,9.5,4.0045,0.0,0.0,0.0,0.0,0
